track_id,category,projection_id,seed_index,qubits,layers,entangle,eligible,gamma,clipped_eigenvalues,minimum_eigenvalue_before_clip,maximum_negative_eigenvalue,off_diagonal_mean,off_diagonal_std,off_diagonal_q05,off_diagonal_q95,effective_rank,regularized_condition_number,kernel_target_alignment_q01b,kernel_target_alignment_fqk
Q01b,projected,PX-03,1,8,1,False,True,0.055702902976317595,21.6,-3.665074776971622e-15,-3.665074776971622e-15,0.7806381536506773,0.10267812672896463,0.6128774999214461,0.9574862122197529,15.435618321862838,804.5308475743752,0.18909339225103258,0.1548991989739794
FQK,projected,PX-03,1,8,1,False,True,0.055702902976317595,21.6,-3.665074776971622e-15,-3.665074776971622e-15,0.7806381536506773,0.10267812672896463,0.6128774999214461,0.9574862122197529,15.435618321862838,804.5308475743752,0.18909339225103258,0.1548991989739794
Q01b,projected,PX-03,2,8,1,False,True,0.055702902976317595,20.0,-2.5173650574307102e-15,-2.5173650574307102e-15,0.7806379032894699,0.10267775131440986,0.6128788365826038,0.9574848917801347,15.422556301335714,804.5306675259627,0.18898331024766918,0.1549036754558296
FQK,projected,PX-03,2,8,1,False,True,0.055702902976317595,20.0,-2.5173650574307102e-15,-2.5173650574307102e-15,0.7806379032894699,0.10267775131440986,0.6128788365826038,0.9574848917801347,15.422556301335714,804.5306675259627,0.18898331024766918,0.1549036754558296
Q01b,projected,PX-03,3,8,1,False,True,0.055702902976317595,25.2,-3.3035438732260184e-15,-3.3035438732260184e-15,0.7806373194726067,0.10267745765862546,0.6128799895362556,0.9574791535131307,15.39944265662059,804.5302195236419,0.1888961344646462,0.15490767302857533
FQK,projected,PX-03,3,8,1,False,True,0.055702902976317595,25.2,-3.3035438732260184e-15,-3.3035438732260184e-15,0.7806373194726067,0.10267745765862546,0.6128799895362556,0.9574791535131307,15.39944265662059,804.5302195236419,0.1888961344646462,0.15490767302857533
Q01b,projected,PX-03,4,8,1,False,True,0.055702902976317595,21.8,-2.9345803595984856e-15,-2.9345803595984856e-15,0.7806379887820499,0.10267783103282671,0.6128764121387228,0.9574897049543374,15.423789453918499,804.5306719364028,0.18901070596079483,0.15490005205951213
FQK,projected,PX-03,4,8,1,False,True,0.055702902976317595,21.8,-2.9345803595984856e-15,-2.9345803595984856e-15,0.7806379887820499,0.10267783103282671,0.6128764121387228,0.9574897049543374,15.423789453918499,804.5306719364028,0.18901070596079483,0.15490005205951213
Q01b,projected,PX-03,5,8,1,False,True,0.055702902976317595,19.0,-1.8234699982607082e-14,-1.8234699982607082e-14,0.7806380579911097,0.10267824722958778,0.6128769840232178,0.9574876356495802,15.432210925497259,804.530870232775,0.1890296871015285,0.1549023752685002
FQK,projected,PX-03,5,8,1,False,True,0.055702902976317595,19.0,-1.8234699982607082e-14,-1.8234699982607082e-14,0.7806380579911097,0.10267824722958778,0.6128769840232178,0.9574876356495802,15.432210925497259,804.530870232775,0.1890296871015285,0.1549023752685002
Q01b,projected,PX-03,6,8,1,False,True,0.055702902976317595,24.6,-2.7473436977987033e-15,-2.7473436977987033e-15,0.7806365933617727,0.10267731784568246,0.6128807273395402,0.9574840027638425,15.384917010004688,804.529639186497,0.1889017341484634,0.1549116209603696
FQK,projected,PX-03,6,8,1,False,True,0.055702902976317595,24.6,-2.7473436977987033e-15,-2.7473436977987033e-15,0.7806365933617727,0.10267731784568246,0.6128807273395402,0.9574840027638425,15.384917010004688,804.529639186497,0.1889017341484634,0.1549116209603696
Q01b,projected,PX-03,7,8,1,False,True,0.055702902976317595,23.8,-6.589979130534764e-15,-6.589979130534764e-15,0.7806383866632138,0.10267798343455195,0.6128773946080054,0.9574846223725464,15.427996846726344,804.5311476245736,0.18899971801043297,0.15490184031797846
FQK,projected,PX-03,7,8,1,False,True,0.055702902976317595,23.8,-6.589979130534764e-15,-6.589979130534764e-15,0.7806383866632138,0.10267798343455195,0.6128773946080054,0.9574846223725464,15.427996846726344,804.5311476245736,0.18899971801043297,0.15490184031797846
Q01b,projected,PX-03,8,8,1,False,True,0.055702902976317595,20.8,-1.7235813900143428e-14,-1.7235813900143428e-14,0.7806381812294979,0.10267831385220175,0.6128812849984052,0.9574856863172274,15.42869208015965,804.5309018344088,0.18895660285533217,0.1548997330925268
FQK,projected,PX-03,8,8,1,False,True,0.055702902976317595,20.8,-1.7235813900143428e-14,-1.7235813900143428e-14,0.7806381812294979,0.10267831385220175,0.6128812849984052,0.9574856863172274,15.42869208015965,804.5309018344088,0.18895660285533217,0.1548997330925268
Q01b,projected,PX-03,9,8,1,False,True,0.055702902976317595,20.4,-5.515462465652188e-15,-5.515462465652188e-15,0.7806357151752398,0.10267722380742603,0.6128780685408424,0.9574827952740546,15.384426006662512,804.5289432583808,0.1888435017438319,0.15491401975924246
FQK,projected,PX-03,9,8,1,False,True,0.055702902976317595,20.4,-5.515462465652188e-15,-5.515462465652188e-15,0.7806357151752398,0.10267722380742603,0.6128780685408424,0.9574827952740546,15.384426006662512,804.5289432583808,0.1888435017438319,0.15491401975924246
Q01b,projected,PX-03,10,8,1,False,True,0.055702902976317595,24.6,-3.4850893209410942e-15,-3.4850893209410942e-15,0.7806368016278216,0.10267697492818821,0.6128808674667561,0.9574795140106108,15.3895041967728,804.5297661133022,0.18884339283791104,0.15491051282736976
FQK,projected,PX-03,10,8,1,False,True,0.055702902976317595,24.6,-3.4850893209410942e-15,-3.4850893209410942e-15,0.7806368016278216,0.10267697492818821,0.6128808674667561,0.9574795140106108,15.3895041967728,804.5297661133022,0.18884339283791104,0.15491051282736976
Q01b,projected,PX-03,11,8,1,False,True,0.055702902976317595,18.6,-2.6221924998923265e-15,-2.6221924998923265e-15,0.7806377915250897,0.1026782828652226,0.6128786241737547,0.9574869204937089,15.425709702138226,804.5307099939932,0.18890652278875644,0.15490427825926215
FQK,projected,PX-03,11,8,1,False,True,0.055702902976317595,18.6,-2.6221924998923265e-15,-2.6221924998923265e-15,0.7806377915250897,0.1026782828652226,0.6128786241737547,0.9574869204937089,15.425709702138226,804.5307099939932,0.18890652278875644,0.15490427825926215
Q01b,projected,PX-03,12,8,1,False,True,0.055702902976317595,20.2,-6.955483941458683e-15,-6.955483941458683e-15,0.7806369351800837,0.10267791742053804,0.6128799042556867,0.9574846795828507,15.412294212674235,804.5300336032421,0.18873313494664695,0.15490867710113718
FQK,projected,PX-03,12,8,1,False,True,0.055702902976317595,20.2,-6.955483941458683e-15,-6.955483941458683e-15,0.7806369351800837,0.10267791742053804,0.6128799042556867,0.9574846795828507,15.412294212674235,804.5300336032421,0.18873313494664695,0.15490867710113718
Q01b,projected,PX-03,13,8,1,False,True,0.055702902976317595,22.6,-5.6437179159604426e-15,-5.6437179159604426e-15,0.7806374840868692,0.10267757501401628,0.6128754235154242,0.9574875336790335,15.407814194442585,804.5302867258295,0.18887591882648982,0.15490555365560646
FQK,projected,PX-03,13,8,1,False,True,0.055702902976317595,22.6,-5.6437179159604426e-15,-5.6437179159604426e-15,0.7806374840868692,0.10267757501401628,0.6128754235154242,0.9574875336790335,15.407814194442585,804.5302867258295,0.18887591882648982,0.15490555365560646
Q01b,projected,PX-03,14,8,1,False,True,0.055702902976317595,19.6,-3.8390873762528865e-15,-3.8390873762528865e-15,0.7806380667878607,0.10267792607823825,0.6128804266324407,0.9574844733082382,15.427352331589564,804.5308031584926,0.18910466067863502,0.15490222229570424
FQK,projected,PX-03,14,8,1,False,True,0.055702902976317595,19.6,-3.8390873762528865e-15,-3.8390873762528865e-15,0.7806380667878607,0.10267792607823825,0.6128804266324407,0.9574844733082382,15.427352331589564,804.5308031584926,0.18910466067863502,0.15490222229570424
Q01b,projected,PX-03,15,8,1,False,True,0.055702902976317595,23.8,-2.823875673510418e-15,-2.823875673510418e-15,0.7806378396640501,0.10267822893502976,0.6128817194791377,0.9574864439864388,15.421611115801989,804.5306298599062,0.18894327264535007,0.1549021984902657
FQK,projected,PX-03,15,8,1,False,True,0.055702902976317595,23.8,-2.823875673510418e-15,-2.823875673510418e-15,0.7806378396640501,0.10267822893502976,0.6128817194791377,0.9574864439864388,15.421611115801989,804.5306298599062,0.18894327264535007,0.1549021984902657
Q01b,projected,PX-03,16,8,1,False,True,0.055702902976317595,24.4,-2.634566163668654e-15,-2.634566163668654e-15,0.7806381282108015,0.10267759029382033,0.612877605672066,0.9574844505933745,15.407041328358739,804.5307597838824,0.18901973173438438,0.15490329523166715
FQK,projected,PX-03,16,8,1,False,True,0.055702902976317595,24.4,-2.634566163668654e-15,-2.634566163668654e-15,0.7806381282108015,0.10267759029382033,0.612877605672066,0.9574844505933745,15.407041328358739,804.5307597838824,0.18901973173438438,0.15490329523166715
Q01b,projected,PX-03,17,8,1,False,True,0.055702902976317595,17.0,-2.2039171488202177e-15,-2.2039171488202177e-15,0.7806383646131569,0.10267733720702232,0.6128838969093644,0.9574856867962669,15.426301157945499,804.5310343765989,0.18903909731055873,0.15490467517943898
FQK,projected,PX-03,17,8,1,False,True,0.055702902976317595,17.0,-2.2039171488202177e-15,-2.2039171488202177e-15,0.7806383646131569,0.10267733720702232,0.6128838969093644,0.9574856867962669,15.426301157945499,804.5310343765989,0.18903909731055873,0.15490467517943898
Q01b,projected,PX-03,18,8,1,False,True,0.055702902976317595,22.8,-3.3094830018997504e-15,-3.3094830018997504e-15,0.7806386230332233,0.10267852801746535,0.6128745721160218,0.9574842550460518,15.451934955517359,804.5312413163053,0.1890323797759898,0.15489558375537696
FQK,projected,PX-03,18,8,1,False,True,0.055702902976317595,22.8,-3.3094830018997504e-15,-3.3094830018997504e-15,0.7806386230332233,0.10267852801746535,0.6128745721160218,0.9574842550460518,15.451934955517359,804.5312413163053,0.1890323797759898,0.15489558375537696
Q01b,projected,PX-03,19,8,1,False,True,0.055702902976317595,22.0,-3.727270641278224e-15,-3.727270641278224e-15,0.7806379487147904,0.10267807956534829,0.6128830301483962,0.9574840540127194,15.42835371914244,804.5306904881318,0.1888916470972317,0.1549014337745692
FQK,projected,PX-03,19,8,1,False,True,0.055702902976317595,22.0,-3.727270641278224e-15,-3.727270641278224e-15,0.7806379487147904,0.10267807956534829,0.6128830301483962,0.9574840540127194,15.42835371914244,804.5306904881318,0.1888916470972317,0.1549014337745692
Q01b,projected,PX-03,20,8,1,False,True,0.055702902976317595,27.2,-3.7534600916073885e-15,-3.7534600916073885e-15,0.7806375580572794,0.10267741866203157,0.6128766318256662,0.9574805286172234,15.414651728321317,804.5303640152471,0.18884086683658072,0.15490466378617254
FQK,projected,PX-03,20,8,1,False,True,0.055702902976317595,27.2,-3.7534600916073885e-15,-3.7534600916073885e-15,0.7806375580572794,0.10267741866203157,0.6128766318256662,0.9574805286172234,15.414651728321317,804.5303640152471,0.18884086683658072,0.15490466378617254
Q01b,A02,PX-03,1,8,1,False,True,0.01790128768508387,22.2,-2.3172909774128112e-15,-2.3172909774128112e-15,0.7663963108468791,0.13828859486190653,0.5129577885617971,0.9675612468081752,14.092285587982298,795.4631748383815,0.20386690061489138,0.1226870883666928
FQK,A02,PX-03,1,8,1,False,True,0.01790128768508387,22.2,-2.3172909774128112e-15,-2.3172909774128112e-15,0.7663963108468791,0.13828859486190653,0.5129577885617971,0.9675612468081752,14.092285587982298,795.4631748383815,0.20386690061489138,0.1226870883666928
Q01b,A02,PX-03,2,8,1,False,True,0.01790128768508387,21.6,-1.3705811051383398e-14,-1.3705811051383398e-14,0.7663960153666619,0.1382885978851911,0.5129551546089501,0.9675610719698617,14.09098286733239,795.4629425743888,0.2039284216712315,0.12268915711512329
FQK,A02,PX-03,2,8,1,False,True,0.01790128768508387,21.6,-1.3705811051383398e-14,-1.3705811051383398e-14,0.7663960153666619,0.1382885978851911,0.5129551546089501,0.9675610719698617,14.09098286733239,795.4629425743888,0.2039284216712315,0.12268915711512329
Q01b,A02,PX-03,3,8,1,False,True,0.01790128768508387,26.8,-3.025151400094564e-15,-3.025151400094564e-15,0.7663952710963858,0.13828743667870552,0.5129576296832143,0.9675574586446452,14.06844477803466,795.4623799458218,0.20391062773957272,0.12269759341075523
FQK,A02,PX-03,3,8,1,False,True,0.01790128768508387,26.8,-3.025151400094564e-15,-3.025151400094564e-15,0.7663952710963858,0.13828743667870552,0.5129576296832143,0.9675574586446452,14.06844477803466,795.4623799458218,0.20391062773957272,0.12269759341075523
Q01b,A02,PX-03,4,8,1,False,True,0.01790128768508387,23.6,-3.1513886808033345e-15,-3.1513886808033345e-15,0.7663964921318686,0.13828856483801427,0.5129549487568567,0.9675587899113249,14.08634984870252,795.4631959792862,0.20389422860756395,0.12268634762952717
