rung_samples,track_id,category,alpha,calibration_rows_read,clipped_eigenvalues,decision_sets,effective_rank,eligible,entangle,feature_scale,final_test_rows_read,fold_count,gamma,gamma_multiplier,ineligible_folds,kernel_target_alignment_fqk,kernel_target_alignment_q01b,landmarks,layers,maximum_negative_eigenvalue,mean_fold_nrmse,mean_regret_m_s,minimum_eigenvalue_before_clip,model_view,off_diagonal_mean,off_diagonal_q05,off_diagonal_q95,off_diagonal_std,pooled_oof_nrmse,pooled_oof_rmse,projection_id,qubits,regularized_condition_number,status,validation_rows,wall_time_s,control_id,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
128,Q01b,projected,0.01,0,5.2,7800,19.143156889002693,True,False,0.5,0,5,0.37395138935430067,1.0,[],0.09058516324202001,0.0819247374918616,256,2,-1.6799775623416009e-15,0.7152270489528957,19.054100942124357,-1.6799775623416009e-15,projected,0.41077801157389643,0.07502860579494193,0.8858664234655771,0.25472566783788225,0.8201569048741335,1.9207230008658465,PX-17,8,5880.571062359374,complete,39000,6.735895299934782,,,,,,,,,
128,Q01b,projected,1.0,0,20.2,7800,4.3131005262758935,True,False,0.5,0,5,0.23824598717846998,0.25,[],0.0815903954590244,0.06133893965539041,256,2,-4.281467355041838e-15,0.7749303591465705,19.88749346854205,-4.281467355041838e-15,projected,0.7326626936040427,0.3149713942099153,0.9940004560245204,0.22042555114365978,0.8782686723386003,2.0568147751673727,PX-01,4,97.5499664115223,complete,39000,2.024949899991043,,,,,,,,,
128,Q01b,projected,1.0,0,8.4,7800,7.987900041446984,True,True,0.5,0,5,10.530847586774593,1.0,[],0.093460528303099,0.06864559250853694,256,1,-7.112317825783456e-16,0.7828539153732584,19.041003283172948,-7.112317825783456e-16,projected,0.4246663988610604,0.0013013786807648674,0.9784666295610422,0.34982194246760273,0.9135443880197915,2.1394268681439796,PX-30,4,65.29411726446031,complete,39000,1.8378232999821194,,,,,,,,,
128,Q01b,projected,1.0,0,4.8,7800,32.97637444591875,True,True,0.5,0,5,10.700458205849248,4.0,[],0.0939009950786501,0.06919333374442857,256,1,-3.898359537816657e-16,0.8310820967209029,19.303810597798844,-3.0587765781883345e-16,projected,0.15360050294734387,2.6158589913866326e-08,0.7365470496440943,0.2428389321108269,0.9526666364539597,2.2310471446624422,PX-07,8,31.32744383339982,complete,39000,1.8516650000819936,,,,,,,,,
128,Q01b,projected,0.01,0,4.8,7800,30.74947769124855,True,False,0.5,0,5,4.521219258891722,4.0,[],0.14100829643414564,0.08868945619568372,256,1,-4.711621771797345e-16,0.8179339021802277,18.766905178464103,-4.711621771797345e-16,projected,0.14087694688882593,1.873167094292225e-05,0.7544612389668238,0.24212731039086327,0.9553501369150575,2.237331626360802,PX-19,6,2851.6392889759563,complete,39000,1.8483199999900535,,,,,,,,,
128,Q01b,projected,1.0,0,5.4,7800,10.129645194022476,True,True,1.0,0,5,0.27729357383053843,0.25,[],0.05473950571211533,0.03388415149965072,256,1,-1.6202741794355182e-15,0.856345908679924,19.74660060231577,-1.6202741794355182e-15,projected,0.7490238098499636,0.4436649284676923,0.9615073581978901,0.16034705721294928,0.9737635000394311,2.2804538263521645,PX-13,8,98.4899662495717,complete,39000,5.2782659999793395,,,,,,,,,
128,Q01b,projected,1.0,0,5.0,7800,17.902430341802052,True,False,1.0,0,5,0.347122054970156,1.0,[],0.1304757131307146,0.09691587181737407,256,1,-5.492803876117736e-16,0.8537297245877962,18.81815192054859,-5.083597171764874e-16,projected,0.40967762920724793,0.09168847093271985,0.8920489199905075,0.2481794411393516,0.9745238235231034,2.282234425642994,PX-06,6,59.19511799025666,complete,39000,2.3940133000724018,,,,,,,,,
128,Q01b,projected,1.0,0,4.8,7800,23.74555163495684,True,False,2.0,0,5,0.1726894686548009,1.0,[],0.0970709103493618,0.06287684340836,256,2,-6.530093267390725e-16,0.8802943961149692,19.411408117373078,-6.530093267390725e-16,projected,0.4067964705300315,0.20530259427145992,0.7575337158815059,0.1685377485029586,0.9960486283598895,2.3326433016683787,PX-21,6,54.422568711049486,complete,39000,2.7218302999972366,,,,,,,,,
128,Q01b,projected,1.0,0,5.4,7800,13.741135853305831,True,False,1.0,0,5,0.056465405781722565,0.25,[],0.11995272099386471,0.09847674845876156,256,1,-6.844810882103346e-16,0.8864012159359211,19.472788839617564,-6.823580319056271e-16,projected,0.7772935169006379,0.5965395468944068,0.9509752744883052,0.1067507777783467,0.9979497388857363,2.337095506719,PX-03,8,101.26103734388616,complete,39000,5.230965500057209,,,,,,,,,
128,Q01b,projected,0.01,0,5.8,7800,15.32764477738744,True,True,0.5,0,5,42.12339034709837,4.0,[],0.1167822185252205,0.06412749583218522,256,1,-8.176255833969435e-16,0.9031704192543634,18.723097515503845,-8.176255833969435e-16,projected,0.20955677259317168,2.387772471674293e-10,0.9176232152517262,0.3142196776475652,0.9993439578558962,2.34036062395244,PX-10,4,3735.403083898076,complete,39000,1.9294179999269545,,,,,,,,,
