category,calibration_rows_read,control_id,decision_sets,eligible,final_test_rows_read,fold_count,ineligible_folds,mean_fold_nrmse,mean_regret_m_s,model_view,pooled_oof_nrmse,pooled_oof_rmse,seed_index,status,track_id,validation_rows,wall_time_s,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
control,0,C02-T02,,True,0,5,[],,,control,,,3,complete,FQK,39000,59.319412200013176,0.9129376781687922,0.07239726715855599,0.6771352416270715,0.033485891146159165,0.10699626733724202,0.7325795424664738,0.09751282051282051,0.3228647583729285
control,0,C03-T13,,True,0,5,[],,,control,,,3,complete,FQK,39000,59.319412200013176,0.8989529527337629,0.11489695140934364,0.5932321242322401,0.05643541536334003,0.13088043978657862,0.6718989280245024,0.13394871794871796,0.40676787576775986
control,0,C04-T28,,True,0,5,[],,,control,,,3,complete,FQK,39000,59.319412200013176,0.7306596292347993,0.07358071774528153,0.9986093405956658,0.0032596885186526622,0.15782398239201534,0.10810810810810811,0.0028461538461538463,0.0013906594043342217
control,0,C05-T12,,True,0,5,[],,,control,,,3,complete,FQK,39000,59.319412200013176,0.626709658875772,0.1707003201467775,0.8515471085873219,0.06437061670672681,0.1777606516486275,0.3958590852904821,0.08297435897435898,0.14845289141267817
control,0,C06-T17,,True,0,5,[],,,control,,,3,complete,FQK,39000,59.319412200013176,0.8971983962581732,0.09764262831651918,0.6009966392397729,0.048269730993381846,0.12247392928942265,0.7013648400896313,0.12587179487179487,0.39900336076022713
control,0,A01-T04-q8,,True,0,5,[],,,control,,,3,complete,FQK,39000,59.319412200013176,0.6630410269288526,0.15589968876983112,0.8651060377795805,0.10756972111553785,0.1977418319395316,0.2626946513202437,0.11361538461538462,0.13489396222041952
control,0,C05-T17-q8,,True,0,5,[],,,control,,,3,complete,FQK,39000,59.319412200013176,0.5724044190574827,0.15284193232523013,0.9232819561942288,0.057390273616278686,0.18985770686476672,0.2752598752598753,0.06166666666666667,0.07671804380577124
control,0,C06-T17,7800,True,0,5,[],0.005356997531575444,16.806576945019742,control,0.006832811015144498,0.016001739666352786,4,complete,Q01b,39000,61.12887520005461,,,,,,,,
control,0,A01-T04-q8,7800,True,0,5,[],0.452111647264556,18.974106674997948,control,0.5652270424745459,1.3237035190953457,4,complete,Q01b,39000,61.12887520005461,,,,,,,,
control,0,C05-T17-q8,7800,True,0,5,[],0.40060610389401513,19.462407067450513,control,0.4932082207541231,1.15504285605441,4,complete,Q01b,39000,61.12887520005461,,,,,,,,
