outer_fold,seed_index,config_id,fit_rows,fit_features,validation_rows,projection_components,projection_hash,validation_outcomes_used
CV03,13,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,14,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,14,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,14,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,15,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,15,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,15,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,16,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,16,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,16,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,17,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,17,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,17,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,18,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,18,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
