outer_fold,seed_index,config_id,fit_rows,fit_features,validation_rows,projection_components,projection_hash,validation_outcomes_used
CV01,18,TAPQK-08,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,19,TAPQK-04,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,19,TAPQK-06,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,19,TAPQK-08,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,20,TAPQK-04,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,20,TAPQK-06,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,20,TAPQK-08,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV02,1,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,1,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,1,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,2,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,2,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,2,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,3,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,3,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,3,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,4,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,4,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,4,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,5,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,5,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,5,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,6,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,6,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,6,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,7,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,7,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,7,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,8,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,8,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,8,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,9,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,9,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,9,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,10,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,10,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,10,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,11,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,11,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,11,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,12,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,12,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,12,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,13,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,13,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,13,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,14,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,14,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,14,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,15,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,15,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,15,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,16,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,16,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,16,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,17,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,17,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,17,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,18,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,18,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,18,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,19,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,19,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,19,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,20,TAPQK-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,20,TAPQK-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,20,TAPQK-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV03,1,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,1,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,1,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,2,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,2,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,2,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,3,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,3,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,3,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,4,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,4,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,4,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,5,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,5,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,5,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,6,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,6,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,6,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,7,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,7,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,7,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,8,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,8,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,8,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,9,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,9,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,9,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,10,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,10,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,10,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,11,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,11,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,11,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,12,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,12,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,12,TAPQK-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,13,TAPQK-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,13,TAPQK-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
