outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,validation_outcomes_used
CV01,20,GFRK-06-L010,6,1,True,64,256,0.1,11,-6.831391798663073e-16,0
CV01,20,GFRK-08-L010,8,1,True,256,256,0.1,15,-1.151238765735795e-15,0
CV02,1,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0622894638889113e-14,0
CV02,1,GFRK-06-L010,6,1,True,64,256,0.1,19,-9.991864177748902e-16,0
CV02,1,GFRK-08-L010,8,1,True,256,256,0.1,15,-2.1033328583346622e-15,0
CV02,2,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.430559453411676e-14,0
CV02,2,GFRK-06-L010,6,1,True,64,256,0.1,21,-3.0647354364712708e-15,0
CV02,2,GFRK-08-L010,8,1,True,256,256,0.1,14,-9.308561789935786e-16,0
CV02,3,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0753435012444061e-14,0
CV02,3,GFRK-06-L010,6,1,True,64,256,0.1,17,-1.1740901364759717e-15,0
CV02,3,GFRK-08-L010,8,1,True,256,256,0.1,23,-2.1578648344262696e-15,0
CV02,4,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.639958473586877e-14,0
CV02,4,GFRK-06-L010,6,1,True,64,256,0.1,15,-1.1033906392187023e-15,0
CV02,4,GFRK-08-L010,8,1,True,256,256,0.1,21,-1.6653065055122682e-15,0
CV02,5,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1089439620814308e-14,0
CV02,5,GFRK-06-L010,6,1,True,64,256,0.1,17,-2.687363682937586e-15,0
CV02,5,GFRK-08-L010,8,1,True,256,256,0.1,18,-1.1075009016256445e-15,0
CV02,6,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3536450344678477e-14,0
CV02,6,GFRK-06-L010,6,1,True,64,256,0.1,15,-8.076418806955903e-16,0
CV02,6,GFRK-08-L010,8,1,True,256,256,0.1,17,-2.302995563223601e-15,0
CV02,7,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.0941451923730417e-14,0
CV02,7,GFRK-06-L010,6,1,True,64,256,0.1,20,-2.7069146535866965e-15,0
