outer_fold,seed_index,inner_fold,fit_groups,holdout_groups,group_intersection_count,fit_rows,holdout_rows
CV05,1,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,2,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,2,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,2,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,2,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,3,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,3,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,3,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,3,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,4,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,4,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,4,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,4,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,5,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,5,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,5,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,5,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,6,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,6,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,6,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,6,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,7,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,7,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,7,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,7,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,8,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,8,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,8,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,8,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,9,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,9,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,9,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,9,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,10,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,10,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,10,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,10,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,11,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,11,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,11,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,11,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,12,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,12,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,12,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,12,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,13,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,13,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,13,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,13,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,14,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,14,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,14,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,14,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,15,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,15,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,15,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,15,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,16,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,16,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,16,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,16,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,17,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,17,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,17,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,17,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,18,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,18,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,18,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,18,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,19,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,19,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,19,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,19,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
CV05,20,1,G01;G02;G03;G04;G07;G09;G10;G12,G05;G06,0,818,206
CV05,20,2,G01;G02;G05;G06;G07;G09;G12,G03;G04;G10,0,709,315
CV05,20,3,G01;G03;G04;G05;G06;G07;G10;G12,G02;G09,0,844,180
CV05,20,4,G02;G03;G04;G05;G06;G09;G10,G01;G07;G12,0,701,323
