outer_fold,seed_index,inner_fold,fit_groups,holdout_groups,group_intersection_count,fit_rows,holdout_rows
CV01,16,3,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,836,188
CV01,16,4,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,715,309
CV01,17,1,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,820,204
CV01,17,2,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,701,323
CV01,17,3,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,836,188
CV01,17,4,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,715,309
CV01,18,1,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,820,204
CV01,18,2,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,701,323
CV01,18,3,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,836,188
CV01,18,4,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,715,309
CV01,19,1,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,820,204
CV01,19,2,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,701,323
CV01,19,3,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,836,188
CV01,19,4,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,715,309
CV01,20,1,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,820,204
CV01,20,2,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,701,323
CV01,20,3,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,836,188
CV01,20,4,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,715,309
CV02,1,1,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,792,232
CV02,1,2,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,686,338
CV02,1,3,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,808,216
CV02,1,4,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,786,238
