outer_fold,seed_index,config_id,fit_rows,fit_features,validation_rows,projection_components,projection_hash,validation_outcomes_used
CV01,7,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,8,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,8,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,8,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,9,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,9,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,9,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,10,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,10,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,10,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,11,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,11,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,11,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,12,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,12,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,12,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,13,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,13,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,13,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,14,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,14,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,14,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,15,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,15,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,15,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,16,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,16,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,16,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,17,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,17,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,17,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,18,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,18,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,18,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,19,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,19,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,19,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV01,20,GFRK-04-L010,1024,4,6500,4,cce316847bca711b97dd69ccab5916fffa619d6a6794e83ea420f3bdcdc78707,0
CV01,20,GFRK-06-L010,1024,6,6500,6,7503811fd4e1eed0534ecf96272f6ac74649e9064672eae0d3986bd836996992,0
CV01,20,GFRK-08-L010,1024,8,6500,8,49f9703605cf30f96472020b75ff068bf7dd89fc467d8ad5f25777c1eeceac1b,0
CV02,1,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,1,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,1,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,2,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,2,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,2,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,3,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,3,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,3,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,4,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,4,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,4,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,5,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,5,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,5,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,6,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,6,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,6,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,7,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,7,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,7,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,8,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,8,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,8,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,9,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,9,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,9,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,10,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,10,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,10,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,11,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,11,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,11,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,12,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,12,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,12,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,13,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,13,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,13,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,14,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,14,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,14,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,15,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,15,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,15,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,16,GFRK-04-L010,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,16,GFRK-06-L010,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,16,GFRK-08-L010,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
