task_key,task_signature,source_commit,stage,family_id,model_family,trial_id,trial_order,view,rung_samples,matched_qubits,seed_index,candidate_role,control_for,advancement_basis,source_split,calibration_rows_read,final_test_rows_read,fold_id,training_seed,qubits,data_reupload_layers,feature_scale,entangle,shots,noise_state,training_rows,validation_rows,training_groups,validation_groups,rmse,nrmse,mae,mean_regret_m_s,no_reference_feasible_rate,training_wall_time_s,inference_wall_time_s,feasibility_metric_error,cost_fitted_trainable_parameter_count,feasibility_fitted_trainable_parameter_count,feasibility_samples,feasibility_precision,feasibility_recall,feasibility_auroc,feasibility_brier,feasibility_expected_calibration_error,eligible_to_advance,fold_end_to_end_wall_time_s,centered_kernel_target_alignment,effective_rank,kernel_rows,nystrom_landmarks,off_diagonal_mean,off_diagonal_q05,off_diagonal_q95,off_diagonal_std,regularized_condition_number
C01-T18__primary__rfull__qraw__s03,284e30b3205d46e6c2a50a2f53553d58dd92b4fbfe9870396d1e7f114374e69a,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,3,primary_candidate,,candidate,development,0,0,CV01,3541654860,,,,,,,32500,6500,10,2,0.025148007433732692,0.01073830632074702,0.016218581251749596,10.0,0.3123076923076923,16.156204958999297,0.0017751249979482964,,54,54,6500,0.8669513797634691,0.9016057396651862,0.9753818330184121,0.0761119561850775,0.07740966739896486,True,17.523581959001604,,,,,,,,,
C01-T18__primary__rfull__qraw__s03,284e30b3205d46e6c2a50a2f53553d58dd92b4fbfe9870396d1e7f114374e69a,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,3,primary_candidate,,candidate,development,0,0,CV02,3541654860,,,,,,,29250,9750,9,3,0.06381912677573504,0.027251039043402703,0.053265333089901445,11.446513861526153,0.41384615384615386,17.429631291000987,0.002648541994858533,,54,54,9750,0.5520110957004161,0.4824242424242424,0.8109171717171717,0.17768833259116823,0.19487771522290442,True,19.267557834013132,,,,,,,,,
C01-T18__primary__rfull__qraw__s03,284e30b3205d46e6c2a50a2f53553d58dd92b4fbfe9870396d1e7f114374e69a,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,3,primary_candidate,,candidate,development,0,0,CV03,3541654860,,,,,,,29250,9750,9,3,0.03349544960453296,0.014302699693103759,0.026962544337707187,19.57975544092513,0.838974358974359,14.310159125001519,0.0034532499994384125,,55,55,9750,0.21942446043165467,0.12398373983739837,0.8380278010492355,0.053444384474501325,0.0503080115162385,True,16.301152874992113,,,,,,,,,
C01-T18__primary__rfull__qraw__s03,284e30b3205d46e6c2a50a2f53553d58dd92b4fbfe9870396d1e7f114374e69a,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,3,primary_candidate,,candidate,development,0,0,CV04,3541654860,,,,,,,32500,6500,10,2,0.023855955970564162,0.010186594841011162,0.017281086379304086,19.430823940648462,0.6576923076923077,21.62209858300048,0.00255874999857042,,54,54,6500,0.36875,0.09335443037974683,0.850833042116435,0.07550404428936851,0.02721605440675951,True,23.05191554198973,,,,,,,,,
C01-T18__primary__rfull__qraw__s03,284e30b3205d46e6c2a50a2f53553d58dd92b4fbfe9870396d1e7f114374e69a,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,3,primary_candidate,,candidate,development,0,0,CV05,3541654860,,,,,,,32500,6500,10,2,0.03327203290666042,0.014207299811214625,0.028081870802997327,17.615776675117694,0.39384615384615385,19.045321874989895,0.0019484579970594496,,54,54,6500,0.47407067462138597,0.8082942097026604,0.8354327633959852,0.14971782524187227,0.14353084432475027,True,20.39281674999802,,,,,,,,,
C01-T18__primary__rfull__qraw__s04,d1f007d7a61622dfc7e65f18ad612b7dcd53409007e8afbb14bc0c84fcd988e3,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,4,primary_candidate,,candidate,development,0,0,CV01,3875691749,,,,,,,32500,6500,10,2,0.025148007433732692,0.01073830632074702,0.016218581251749596,10.0,0.3123076923076923,16.146972792004817,0.0018632090068422258,,54,54,6500,0.8669513797634691,0.9016057396651862,0.9753944547282694,0.07599365464001626,0.07752620489249025,True,17.509429333993467,,,,,,,,,
C01-T18__primary__rfull__qraw__s04,d1f007d7a61622dfc7e65f18ad612b7dcd53409007e8afbb14bc0c84fcd988e3,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,4,primary_candidate,,candidate,development,0,0,CV02,3875691749,,,,,,,29250,9750,9,3,0.06381912677573504,0.027251039043402703,0.053265333089901445,11.446513861526153,0.41384615384615386,17.39964770800725,0.0024831249902490526,,54,54,9750,0.5520110957004161,0.4824242424242424,0.8109946910970167,0.17762896208089995,0.1948426761702221,True,19.26375033298973,,,,,,,,,
C01-T18__primary__rfull__qraw__s04,d1f007d7a61622dfc7e65f18ad612b7dcd53409007e8afbb14bc0c84fcd988e3,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,4,primary_candidate,,candidate,development,0,0,CV03,3875691749,,,,,,,29250,9750,9,3,0.03349544960453296,0.014302699693103759,0.026962544337707187,19.57975544092513,0.838974358974359,14.30433670799539,0.002296584003488533,,55,55,9750,0.2210144927536232,0.12398373983739837,0.8380958590856162,0.05342716659684987,0.050121017045329105,True,16.29090391698992,,,,,,,,,
C01-T18__primary__rfull__qraw__s04,d1f007d7a61622dfc7e65f18ad612b7dcd53409007e8afbb14bc0c84fcd988e3,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,4,primary_candidate,,candidate,development,0,0,CV04,3875691749,,,,,,,32500,6500,10,2,0.023855955970564162,0.010186594841011162,0.017281086379304086,19.430823940648462,0.6576923076923077,21.685809041999164,0.0030656250019092113,,54,54,6500,0.36645962732919257,0.09335443037974683,0.8508330421164351,0.07551039017753722,0.02720030750847771,True,23.12592874999973,,,,,,,,,
C01-T18__primary__rfull__qraw__s04,d1f007d7a61622dfc7e65f18ad612b7dcd53409007e8afbb14bc0c84fcd988e3,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,4,primary_candidate,,candidate,development,0,0,CV05,3875691749,,,,,,,32500,6500,10,2,0.03327203290666042,0.014207299811214625,0.028081870802997327,17.615776675117694,0.39384615384615385,19.009276917000534,0.0015454590029548854,,54,54,6500,0.47428833792470154,0.8082942097026604,0.8354735202996352,0.14969269655699696,0.14350428869533938,True,20.37126245899708,,,,,,,,,
C01-T18__primary__rfull__qraw__s05,08243c0c763da417ae5bbdeefc8e204a90e31cb592bf9478f150153d291f831c,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,5,primary_candidate,,candidate,development,0,0,CV01,1404528401,,,,,,,32500,6500,10,2,0.025148007433732692,0.01073830632074702,0.016218581251749596,10.0,0.3123076923076923,15.829594666007324,0.0020264580089133233,,54,54,6500,0.8669513797634691,0.9016057396651862,0.9754003831071417,0.07594478345171084,0.07779287393158778,True,17.12540445801278,,,,,,,,,
C01-T18__primary__rfull__qraw__s05,08243c0c763da417ae5bbdeefc8e204a90e31cb592bf9478f150153d291f831c,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,5,primary_candidate,,candidate,development,0,0,CV02,1404528401,,,,,,,29250,9750,9,3,0.06381912677573504,0.027251039043402703,0.053265333089901445,11.446513861526153,0.41384615384615386,16.477290583003196,0.002386708991252817,,54,54,9750,0.5520110957004161,0.4824242424242424,0.8108890298332161,0.17770130909444598,0.19488082796352227,True,18.48395337499096,,,,,,,,,
C01-T18__primary__rfull__qraw__s05,08243c0c763da417ae5bbdeefc8e204a90e31cb592bf9478f150153d291f831c,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,5,primary_candidate,,candidate,development,0,0,CV03,1404528401,,,,,,,29250,9750,9,3,0.03349544960453296,0.014302699693103759,0.026962544337707187,19.57975544092513,0.838974358974359,13.7326756669936,0.002162250006222166,,55,55,9750,0.21942446043165467,0.12398373983739837,0.8380192389091746,0.05344624215981854,0.050308887669771506,True,15.545710666992818,,,,,,,,,
C01-T18__primary__rfull__qraw__s05,08243c0c763da417ae5bbdeefc8e204a90e31cb592bf9478f150153d291f831c,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,5,primary_candidate,,candidate,development,0,0,CV04,1404528401,,,,,,,32500,6500,10,2,0.023855955970564162,0.010186594841011162,0.017281086379304086,19.430823940648462,0.6576923076923077,18.892497459004517,0.0018068750068778172,,54,54,6500,0.36875,0.09335443037974683,0.8508319635353301,0.07550434178770864,0.027218373215482757,True,20.099370540992822,,,,,,,,,
