stage,family_id,model_family,trial_id,trial_order,view,rung_samples,matched_qubits,seed_index,candidate_role,control_for,advancement_basis,task_key,effective_qubits,resolved_seed_index,status,training_seed,pooled_oof_rmse,pooled_oof_nrmse,unweighted_mean_fold_nrmse,mean_regret_m_s,fold_count,eligible_to_advance,task_signature,source_commit,source_split,exception_type,exception_message,calibration_rows_read,final_test_rows_read
seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,14,primary_candidate,,candidate,C01-T18__primary__rfull__qraw__s14,,14,complete,169980759,0.04103006259000667,0.017520011540155558,0.015337187941895855,15.59510332567641,5,True,6cb9e8bcd57604b1f3e1b9dfbdd4b28b1d0c306b7871d88df8bcea8c5490c696,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,15,primary_candidate,,candidate,C01-T18__primary__rfull__qraw__s15,,15,complete,2842242911,0.04103006259000667,0.017520011540155558,0.015337187941895855,15.59510332567641,5,True,ba61feeaf6f3b355f2b343bb71edca6873b37a3a6cc84da69c1fe91361995b9c,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,16,primary_candidate,,candidate,C01-T18__primary__rfull__qraw__s16,,16,complete,3581407679,0.04103006259000667,0.017520011540155558,0.015337187941895855,15.59510332567641,5,True,a124c72d24a205785996e4a129ff4ef123faa294cc727e03ea36ab0e9518ac76,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,17,primary_candidate,,candidate,C01-T18__primary__rfull__qraw__s17,,17,complete,3315654108,0.04103006259000667,0.017520011540155558,0.015337187941895855,15.59510332567641,5,True,a428da36d4c7fc1d08cc5431803f92dc0e5a16dd923eb75fca2c835c9664ae3f,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,18,primary_candidate,,candidate,C01-T18__primary__rfull__qraw__s18,,18,complete,1166092537,0.04103006259000667,0.017520011540155558,0.015337187941895855,15.59510332567641,5,True,32d9399da5cdfc1ff1a1fde2c96ebd4fb7ad1e275d10b30d7b82eb79f31b04a3,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,19,primary_candidate,,candidate,C01-T18__primary__rfull__qraw__s19,,19,complete,2027696698,0.04103006259000667,0.017520011540155558,0.015337187941895855,15.59510332567641,5,True,84ccb035e64b45e5e53d08408dcfdfffdec52131eb64fb972110472211c44f16,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,20,primary_candidate,,candidate,C01-T18__primary__rfull__qraw__s20,,20,complete,621220452,0.04103006259000667,0.017520011540155558,0.015337187941895855,15.597667428240513,5,True,12f40bab37bfa4b61f9ce423d042432a67ed8a168587803c3fd685974fdda493,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
seed_rerun,C02,extra_trees,C02-T02,2,primary,,,1,primary_candidate,,candidate,C02-T02__primary__rfull__qraw__s01,,1,complete,4043007294,0.023241816053434852,0.009924354479769394,0.00811583405990491,17.539993561822307,5,True,382ad2e56456384bc0533fae05fbfb8f613955830be32bb8fb6580d2a6229e3f,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
seed_rerun,C02,extra_trees,C02-T02,2,primary,,,2,primary_candidate,,candidate,C02-T02__primary__rfull__qraw__s02,,2,complete,1636831659,0.02287817262298813,0.009769077185615812,0.007969604362123111,17.486335525093846,5,True,2a7d3348dc4ca3b38c1fa520ae6def2033516ef5e53ff6440c4e88149595e2af,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
seed_rerun,C02,extra_trees,C02-T02,2,primary,,,3,primary_candidate,,candidate,C02-T02__primary__rfull__qraw__s03,,3,complete,4083995065,0.023502952699322354,0.01003586094017194,0.008205683691498957,17.532382838358078,5,True,46d10eb20acf279eef2b41df323a1253385132df0f6831d81cd0ba932773c3d1,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
seed_rerun,C02,extra_trees,C02-T02,2,primary,,,4,primary_candidate,,candidate,C02-T02__primary__rfull__qraw__s04,,4,complete,1591363295,0.023038592831520974,0.009837577298151691,0.008024194490739215,17.575941892813717,5,True,8ff2af5e8ec8f54831071f0bd8a939540f14976fff9716c78ea1cc8d9e48025c,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
seed_rerun,C02,extra_trees,C02-T02,2,primary,,,5,primary_candidate,,candidate,C02-T02__primary__rfull__qraw__s05,,5,complete,36554255,0.02345863326678715,0.010016936353650372,0.008177197824390876,17.534891827199232,5,True,c23c469c822094e5d3ebb259bf3d4458c02c7d3b1c76e6cbea1c32982f27a7dc,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
seed_rerun,C02,extra_trees,C02-T02,2,primary,,,6,primary_candidate,,candidate,C02-T02__primary__rfull__qraw__s06,,6,complete,2123571934,0.023520873361299828,0.010043513139189764,0.008208309658126784,17.555434362167055,5,True,60bbd0c55ccff8706c51af572aa5a681f71f42d302c409b3eb849f928b7705b7,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
