model_id,fold_id,seed_index,validation_rows,rmse,nrmse,mae,tail_abs_error_q90,tail_abs_error_q95
ridge_residual,CV01,1,6500,0.043566963512247606,0.7760178970597666,0.04076350371863551,0.058384221542665364,0.059195390081886234
random_feature_rbf_residual,CV01,1,6500,0.06714126312349768,1.1959250224171787,0.05589821112091809,0.10853150318538646,0.11354089631877805
compressed_mlp_residual,CV01,1,6500,0.08731887182444587,1.5553300442384221,0.06575937577769794,0.1562345633381448,0.166550095828615
a02_exact_rbf_residual,CV01,1,6500,0.08802149266793632,1.5678451773906912,0.06802138720311894,0.14133871425247338,0.1465139733714267
ridge_residual,CV01,2,6500,0.043566963512247606,0.7760178970597666,0.04076350371863551,0.058384221542665364,0.059195390081886234
random_feature_rbf_residual,CV01,2,6500,0.0657227860001852,1.1706590055658808,0.05521279910769841,0.1067085984268518,0.11286702238201131
compressed_mlp_residual,CV01,2,6500,0.08518421783493868,1.517307433380497,0.05647804097807438,0.15617657677505248,0.17605125550407058
a02_exact_rbf_residual,CV01,2,6500,0.08802149266793632,1.5678451773906912,0.06802138720311894,0.14133871425247338,0.1465139733714267
ridge_residual,CV01,3,6500,0.043566963512247606,0.7760178970597666,0.04076350371863551,0.058384221542665364,0.059195390081886234
random_feature_rbf_residual,CV01,3,6500,0.06506645718779562,1.1589684294111502,0.052773473813195006,0.10748223694083248,0.11228872784439131
compressed_mlp_residual,CV01,3,6500,0.09361410330590002,1.667461161532588,0.08183241703280594,0.14148587204465388,0.17143181498180887
a02_exact_rbf_residual,CV01,3,6500,0.08802149266793632,1.5678451773906912,0.06802138720311894,0.14133871425247338,0.1465139733714267
ridge_residual,CV01,4,6500,0.043566963512247606,0.7760178970597666,0.04076350371863551,0.058384221542665364,0.059195390081886234
random_feature_rbf_residual,CV01,4,6500,0.06425991946133519,1.1446023212427157,0.054027625193224516,0.10169948870012256,0.10553872733643496
compressed_mlp_residual,CV01,4,6500,0.05665218456411674,1.0090927984211862,0.043576418847025254,0.09565849819128179,0.12023722571541198
a02_exact_rbf_residual,CV01,4,6500,0.08802149266793632,1.5678451773906912,0.06802138720311894,0.14133871425247338,0.1465139733714267
ridge_residual,CV01,5,6500,0.043566963512247606,0.7760178970597666,0.04076350371863551,0.058384221542665364,0.059195390081886234
random_feature_rbf_residual,CV01,5,6500,0.06418121093857018,1.143200359357086,0.05286395779992742,0.10391312392935154,0.10922958879885604
compressed_mlp_residual,CV01,5,6500,0.06658375355970995,1.1859946218474986,0.05541786671142708,0.10641741698194822,0.12067066857044004
a02_exact_rbf_residual,CV01,5,6500,0.08802149266793632,1.5678451773906912,0.06802138720311894,0.14133871425247338,0.1465139733714267
ridge_residual,CV01,6,6500,0.043566963512247606,0.7760178970597666,0.04076350371863551,0.058384221542665364,0.059195390081886234
random_feature_rbf_residual,CV01,6,6500,0.06572332610263054,1.1706686259096009,0.05468372045778774,0.10514858007514286,0.10913654550894297
compressed_mlp_residual,CV01,6,6500,0.08646415063699622,1.5401056887868276,0.07659924137907108,0.11746758436429805,0.11746758436429805
a02_exact_rbf_residual,CV01,6,6500,0.08802149266793632,1.5678451773906912,0.06802138720311894,0.14133871425247338,0.1465139733714267
ridge_residual,CV01,7,6500,0.043566963512247606,0.7760178970597666,0.04076350371863551,0.058384221542665364,0.059195390081886234
random_feature_rbf_residual,CV01,7,6500,0.06564166035809318,1.1692139897764242,0.05597610293274775,0.10493733961918768,0.10948217514005519
compressed_mlp_residual,CV01,7,6500,0.06133562186858551,1.0925145215578789,0.04413155094456111,0.10120384382120229,0.11114737267286288
a02_exact_rbf_residual,CV01,7,6500,0.08802149266793632,1.5678451773906912,0.06802138720311894,0.14133871425247338,0.1465139733714267
ridge_residual,CV01,8,6500,0.043566963512247606,0.7760178970597666,0.04076350371863551,0.058384221542665364,0.059195390081886234
random_feature_rbf_residual,CV01,8,6500,0.06442669409549664,1.147572923057747,0.05428409416138418,0.10282969518551408,0.10789718452760425
