model_id,fold_id,seed_index,validation_rows,threshold,brier,auroc,recall,precision,false_negative_rate,false_positive_rate,expected_calibration_error,intervention_rate
calibrated_logistic,CV01,1,6500,0.3128802448302127,0.11029582491756271,0.9148548058737995,0.9562692176289717,0.6995751062234441,0.04373078237102836,0.3364119787293591,0.1726351194353665,0.6155384615384616
class_weighted_tree,CV01,1,6500,0.7532480642610985,0.13482915246187874,0.9684128324159167,0.0,0.0,1.0,0.0,0.23229622557874918,0.0
a02_exact_rbf_feasibility,CV01,1,6500,0.16261397410789868,0.2113116779309726,0.9380995013372797,0.9648103860608132,0.6279742050255726,0.03518961393918688,0.46823397705009795,0.22447229536484703,0.6918461538461539
calibrated_logistic,CV01,2,6500,0.3128802448302127,0.11029582491756271,0.9148548058737995,0.9562692176289717,0.6995751062234441,0.04373078237102836,0.3364119787293591,0.1726351194353665,0.6155384615384616
class_weighted_tree,CV01,2,6500,0.7673854976534159,0.12177757041077478,0.9606358989540331,0.0,0.0,1.0,0.0,0.23869994200850808,0.0
a02_exact_rbf_feasibility,CV01,2,6500,0.16261397410789868,0.2113116779309726,0.9380995013372797,0.9648103860608132,0.6279742050255726,0.03518961393918688,0.46823397705009795,0.22447229536484703,0.6918461538461539
calibrated_logistic,CV01,3,6500,0.3128802448302127,0.11029582491756271,0.9148548058737995,0.9562692176289717,0.6995751062234441,0.04373078237102836,0.3364119787293591,0.1726351194353665,0.6155384615384616
class_weighted_tree,CV01,3,6500,0.7653750968022878,0.1146528951589154,0.974939164792773,0.0,0.0,1.0,0.0,0.22156388237355895,0.0
a02_exact_rbf_feasibility,CV01,3,6500,0.16261397410789868,0.2113116779309726,0.9380995013372797,0.9648103860608132,0.6279742050255726,0.03518961393918688,0.46823397705009795,0.22447229536484703,0.6918461538461539
calibrated_logistic,CV01,4,6500,0.3128802448302127,0.11029582491756271,0.9148548058737995,0.9562692176289717,0.6995751062234441,0.04373078237102836,0.3364119787293591,0.1726351194353665,0.6155384615384616
class_weighted_tree,CV01,4,6500,0.7614201744228598,0.10525550679672044,0.9664317020633914,0.0,0.0,1.0,0.0,0.22326010681545227,0.0
a02_exact_rbf_feasibility,CV01,4,6500,0.16261397410789868,0.2113116779309726,0.9380995013372797,0.9648103860608132,0.6279742050255726,0.03518961393918688,0.46823397705009795,0.22447229536484703,0.6918461538461539
calibrated_logistic,CV01,5,6500,0.3128802448302127,0.11029582491756271,0.9148548058737995,0.9562692176289717,0.6995751062234441,0.04373078237102836,0.3364119787293591,0.1726351194353665,0.6155384615384616
class_weighted_tree,CV01,5,6500,0.7477817157592598,0.12601020614485509,0.9632047993860494,0.0,0.0,1.0,0.0,0.2455274940748601,0.0
a02_exact_rbf_feasibility,CV01,5,6500,0.16261397410789868,0.2113116779309726,0.9380995013372797,0.9648103860608132,0.6279742050255726,0.03518961393918688,0.46823397705009795,0.22447229536484703,0.6918461538461539
calibrated_logistic,CV01,6,6500,0.3128802448302127,0.11029582491756271,0.9148548058737995,0.9562692176289717,0.6995751062234441,0.04373078237102836,0.3364119787293591,0.1726351194353665,0.6155384615384616
class_weighted_tree,CV01,6,6500,0.7326642747353195,0.14043848770129377,0.9746958144019637,0.0,0.0,1.0,0.0,0.24204046517170882,0.0
a02_exact_rbf_feasibility,CV01,6,6500,0.16261397410789868,0.2113116779309726,0.9380995013372797,0.9648103860608132,0.6279742050255726,0.03518961393918688,0.46823397705009795,0.22447229536484703,0.6918461538461539
calibrated_logistic,CV01,7,6500,0.3128802448302127,0.11029582491756271,0.9148548058737995,0.9562692176289717,0.6995751062234441,0.04373078237102836,0.3364119787293591,0.1726351194353665,0.6155384615384616
class_weighted_tree,CV01,7,6500,0.7634554080053558,0.1261415342551868,0.9601566564555122,0.0,0.0,1.0,0.0,0.22951150091521355,0.0
a02_exact_rbf_feasibility,CV01,7,6500,0.16261397410789868,0.2113116779309726,0.9380995013372797,0.9648103860608132,0.6279742050255726,0.03518961393918688,0.46823397705009795,0.22447229536484703,0.6918461538461539
calibrated_logistic,CV01,8,6500,0.3128802448302127,0.11029582491756271,0.9148548058737995,0.9562692176289717,0.6995751062234441,0.04373078237102836,0.3364119787293591,0.1726351194353665,0.6155384615384616
class_weighted_tree,CV01,8,6500,0.7568914719544398,0.13263222874045166,0.9723385188480854,0.0,0.0,1.0,0.0,0.23048313646261698,0.0
a02_exact_rbf_feasibility,CV01,8,6500,0.16261397410789868,0.2113116779309726,0.9380995013372797,0.9648103860608132,0.6279742050255726,0.03518961393918688,0.46823397705009795,0.22447229536484703,0.6918461538461539
