outer_fold,seed_index,config_id,fit_rows,fit_features,validation_rows,projection_components,projection_hash,validation_outcomes_used
CV02,10,TSQR-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,10,TSQR-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,10,TSQR-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,11,TSQR-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,11,TSQR-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,11,TSQR-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,12,TSQR-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,12,TSQR-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,12,TSQR-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,13,TSQR-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,13,TSQR-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,13,TSQR-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,14,TSQR-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,14,TSQR-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,14,TSQR-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,15,TSQR-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,15,TSQR-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,15,TSQR-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,16,TSQR-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,16,TSQR-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,16,TSQR-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,17,TSQR-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,17,TSQR-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,17,TSQR-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,18,TSQR-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,18,TSQR-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,18,TSQR-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,19,TSQR-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,19,TSQR-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,19,TSQR-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV02,20,TSQR-04,1024,4,9750,4,594a0afacebf0e0548a959b058b02a1adf78402e7bfbec8103551548a63d0f11,0
CV02,20,TSQR-06,1024,6,9750,6,a7acb20f2adc92c1d122a9592ae18f7dc958b39cc1d765b602b8c8d247c62faf,0
CV02,20,TSQR-08,1024,8,9750,8,872f7efe3d170e992e1bd10627a1568583155e89db56159bdf6eb56946ec7ea8,0
CV03,1,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,1,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,1,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,2,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,2,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,2,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
