outer_fold,seed_index,q,orthogonalized_target_l2,first_stage_rbf25_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,validation_outcomes_used,stage_order,channel_source
CV01,1,4,1.4208120521594048,0.7038437474561763,1.1375830919373497,0.3711764860818832,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,1,6,1.1951086573274803,0.7722467026543319,1.4257696648331104,0.33690529468121816,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,1,8,1.2711705483537248,0.860523848397806,1.7603925882866611,0.21256552994197597,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,2,4,1.420876083745585,0.704331045725807,1.1377924079004014,0.37447322988050913,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,2,6,1.1946667467912035,0.7726299145758697,1.428227266032767,0.33443626581569913,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,2,8,1.270536892524933,0.8599739347203439,1.774794448614509,0.20422182263939123,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,3,4,1.4208649250728689,0.7052709048568397,1.138070848973374,0.3784544938190806,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,3,6,1.1941679375821745,0.7725084118518187,1.423652458566961,0.33944978551925736,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,3,8,1.2724104651479429,0.8593720864917084,1.7476141481809853,0.20140078620752186,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,4,4,1.4207996157116485,0.7039828299477382,1.1375891005479324,0.371557898748166,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,4,6,1.1946515960981736,0.7720760056045678,1.4282853364075923,0.3380315185591284,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
CV01,4,8,1.2707992291019679,0.8612508214114787,1.7527386981527442,0.2099231933998021,0,shared_rbf25_then_e2_second_stage,inner_oof_rbf25_orthogonalized_target
