comparison,seed_count,mean_difference,lower_95,upper_95
ORFRK-08-R2_minus_C06_nrmse,20,-0.0003965561167540863,-0.00039872156677033004,-0.0003942871906295889
ORFRK-08-R2_minus_TWO-RBF-08-R2_mean_nrmse,20,-0.0003138262826321682,,
