model_id,config_id,outer_fold,seed_index,validation_rows,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,brier,auroc,recall,precision,ece
C06,C06,CV01,1,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-04-R2,ORFRK-04-R2,CV01,1,6500,0.01435654960664007,0.01382480561907218,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-04-R2,TWO-RBF-04-R2,CV01,1,6500,0.014638318212503994,0.012512139328532708,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-06-R2,ORFRK-06-R2,CV01,1,6500,0.014060592448222857,0.013994971038478455,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-06-R2,TWO-RBF-06-R2,CV01,1,6500,0.014485652326385124,0.012356221204224494,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-08-R2,ORFRK-08-R2,CV01,1,6500,0.013766359758444086,0.014242388839499468,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-08-R2,TWO-RBF-08-R2,CV01,1,6500,0.014610452436103361,0.012471134293604925,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,2,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-04-R2,ORFRK-04-R2,CV01,2,6500,0.014356692628451224,0.013827220753960201,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-04-R2,TWO-RBF-04-R2,CV01,2,6500,0.01463894804798577,0.012514850322018092,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-06-R2,ORFRK-06-R2,CV01,2,6500,0.014059099530159217,0.013987715020643257,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-06-R2,TWO-RBF-06-R2,CV01,2,6500,0.01448791392918501,0.012367786837133611,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-08-R2,ORFRK-08-R2,CV01,2,6500,0.013764628868513849,0.014269331481865256,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-08-R2,TWO-RBF-08-R2,CV01,2,6500,0.01461069084791889,0.012465363424582406,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,3,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-04-R2,ORFRK-04-R2,CV01,3,6500,0.014356747378018926,0.01382831101899319,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-04-R2,TWO-RBF-04-R2,CV01,3,6500,0.014639321944213482,0.012519745530260036,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-06-R2,ORFRK-06-R2,CV01,3,6500,0.014060261275074183,0.0139891934826186,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-06-R2,TWO-RBF-06-R2,CV01,3,6500,0.014485541962437514,0.012360839773966037,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-08-R2,ORFRK-08-R2,CV01,3,6500,0.01377595469388519,0.014217044823776448,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-08-R2,TWO-RBF-08-R2,CV01,3,6500,0.014610445588047888,0.012457616447627629,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,4,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-04-R2,ORFRK-04-R2,CV01,4,6500,0.014356666571584685,0.013826839320297001,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-04-R2,TWO-RBF-04-R2,CV01,4,6500,0.014638605677515619,0.01251116902624716,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-06-R2,ORFRK-06-R2,CV01,4,6500,0.014060967858770094,0.014000739304352056,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-06-R2,TWO-RBF-06-R2,CV01,4,6500,0.014486025641410043,0.012359248420879862,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-08-R2,ORFRK-08-R2,CV01,4,6500,0.013773190450262625,0.01423162941011078,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-08-R2,TWO-RBF-08-R2,CV01,4,6500,0.014611122155862603,0.0124769523909843,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,5,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-04-R2,ORFRK-04-R2,CV01,5,6500,0.014356581899888062,0.013826888252972586,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-04-R2,TWO-RBF-04-R2,CV01,5,6500,0.014638513179935631,0.012512669002013267,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-06-R2,ORFRK-06-R2,CV01,5,6500,0.014059964758540553,0.014012771326263756,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-06-R2,TWO-RBF-06-R2,CV01,5,6500,0.014486596211689294,0.012361985723451065,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-08-R2,ORFRK-08-R2,CV01,5,6500,0.013797933475654441,0.014242535397481626,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-08-R2,TWO-RBF-08-R2,CV01,5,6500,0.01461115089011662,0.012472318382399296,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,6,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-04-R2,ORFRK-04-R2,CV01,6,6500,0.014356861210926324,0.013826898407071407,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-04-R2,TWO-RBF-04-R2,CV01,6,6500,0.014638865716669891,0.012513197013751193,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-06-R2,ORFRK-06-R2,CV01,6,6500,0.014059133676588212,0.013986959343238984,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-06-R2,TWO-RBF-06-R2,CV01,6,6500,0.014486179176726842,0.012359571203792332,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-08-R2,ORFRK-08-R2,CV01,6,6500,0.013772575651922253,0.014262487810219323,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-08-R2,TWO-RBF-08-R2,CV01,6,6500,0.014610925713467482,0.012472007000515253,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,7,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-04-R2,ORFRK-04-R2,CV01,7,6500,0.014357013185295264,0.01382559565217272,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-04-R2,TWO-RBF-04-R2,CV01,7,6500,0.014638774526671148,0.012510662025484053,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-06-R2,ORFRK-06-R2,CV01,7,6500,0.014058509092348561,0.014001022981296763,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-06-R2,TWO-RBF-06-R2,CV01,7,6500,0.014487947968958888,0.01236452751372144,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-08-R2,ORFRK-08-R2,CV01,7,6500,0.013788798207148407,0.014218531955853786,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-08-R2,TWO-RBF-08-R2,CV01,7,6500,0.014613014486856828,0.012470883639057453,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,8,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-04-R2,ORFRK-04-R2,CV01,8,6500,0.014356568794735314,0.013826879816521987,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-04-R2,TWO-RBF-04-R2,CV01,8,6500,0.014638819854693955,0.012516609829035944,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-06-R2,ORFRK-06-R2,CV01,8,6500,0.014060208672870805,0.013993070099319159,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-06-R2,TWO-RBF-06-R2,CV01,8,6500,0.014487244504603107,0.01237077506828364,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-08-R2,ORFRK-08-R2,CV01,8,6500,0.013778189274398856,0.014293319054666066,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-08-R2,TWO-RBF-08-R2,CV01,8,6500,0.014611578140094518,0.01247315811883952,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,9,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-04-R2,ORFRK-04-R2,CV01,9,6500,0.014356482106254757,0.013826189120108847,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-04-R2,TWO-RBF-04-R2,CV01,9,6500,0.014638941965718789,0.012511521613906467,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-06-R2,ORFRK-06-R2,CV01,9,6500,0.014058542959808035,0.013992860910706588,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-06-R2,TWO-RBF-06-R2,CV01,9,6500,0.014485851632812588,0.012360770061827448,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-08-R2,ORFRK-08-R2,CV01,9,6500,0.013804513649452777,0.014249688258078383,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-08-R2,TWO-RBF-08-R2,CV01,9,6500,0.014609653576490505,0.012468799271500295,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,10,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-04-R2,ORFRK-04-R2,CV01,10,6500,0.014356920418058932,0.013824786196022414,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-04-R2,TWO-RBF-04-R2,CV01,10,6500,0.014639338141510909,0.012511645231708802,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-06-R2,ORFRK-06-R2,CV01,10,6500,0.014055452592597252,0.013955080114974188,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-06-R2,TWO-RBF-06-R2,CV01,10,6500,0.01448698336411455,0.012358238953576113,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-08-R2,ORFRK-08-R2,CV01,10,6500,0.013790495642902136,0.014310061910471291,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-08-R2,TWO-RBF-08-R2,CV01,10,6500,0.014609622326915117,0.012470846505113129,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,11,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-04-R2,ORFRK-04-R2,CV01,11,6500,0.01435680734361092,0.0138262817274343,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-04-R2,TWO-RBF-04-R2,CV01,11,6500,0.014639433497057309,0.012517265930944757,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-06-R2,ORFRK-06-R2,CV01,11,6500,0.014058291400261349,0.013984155265805086,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-06-R2,TWO-RBF-06-R2,CV01,11,6500,0.014485841422086003,0.012362161981317154,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-08-R2,ORFRK-08-R2,CV01,11,6500,0.013784966450420318,0.01421885343060579,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-08-R2,TWO-RBF-08-R2,CV01,11,6500,0.014611667269260997,0.01247035995122461,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,12,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
ORFRK-04-R2,ORFRK-04-R2,CV01,12,6500,0.014356926212043276,0.013826848214348769,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
TWO-RBF-04-R2,TWO-RBF-04-R2,CV01,12,6500,0.014638844456539209,0.01251296287156831,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
