outer_fold,seed_index,q,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,candidate_weight,control_weight,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV01,10,8,SFRK-08-CV,TWO-RBF-08-CV,1.9561531313250153,0.8602150198433427,1.065618874787987,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,11,4,SFRK-04-CV,TWO-RBF-04-CV,1.3254448871834188,0.7044806672212087,0.8787477234719643,1.0,0.7515849125792271,1024,1024,0,same_cross_fitted_c06_residual
CV01,11,6,SFRK-06-CV,TWO-RBF-06-CV,1.6226669744084203,0.7728991439517923,0.9205840594749191,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,11,8,SFRK-08-CV,TWO-RBF-08-CV,1.9472235507868325,0.8619404075656506,1.0636246608975648,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,12,4,SFRK-04-CV,TWO-RBF-04-CV,1.3254448874162699,0.7051110892224426,0.8819662489779703,1.0,0.7516008588905928,1024,1024,0,same_cross_fitted_c06_residual
CV01,12,6,SFRK-06-CV,TWO-RBF-06-CV,1.625684286500805,0.7726531891279511,0.9210248918885681,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,12,8,SFRK-08-CV,TWO-RBF-08-CV,1.9847789213013027,0.8594624733686899,1.0623375279687493,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,13,4,SFRK-04-CV,TWO-RBF-04-CV,1.3254448870550655,0.7045222277303165,0.8798701611354499,1.0,0.7569540450674419,1024,1024,0,same_cross_fitted_c06_residual
CV01,13,6,SFRK-06-CV,TWO-RBF-06-CV,1.6213514616501883,0.7730614280536455,0.9209626824018498,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,13,8,SFRK-08-CV,TWO-RBF-08-CV,1.9741568473613353,0.8593964220239285,1.0625200081281627,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,14,4,SFRK-04-CV,TWO-RBF-04-CV,1.3254448878237497,0.7051121893366736,0.8794666332159421,1.0,0.7572178134183641,1024,1024,0,same_cross_fitted_c06_residual
CV01,14,6,SFRK-06-CV,TWO-RBF-06-CV,1.6140897333990638,0.7734393781016868,0.9205130263230111,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,14,8,SFRK-08-CV,TWO-RBF-08-CV,1.9570498200894808,0.8601919456445307,1.06277415481806,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,15,4,SFRK-04-CV,TWO-RBF-04-CV,1.325444887300263,0.7046432527703186,0.8797175348746343,1.0,0.7544840786771847,1024,1024,0,same_cross_fitted_c06_residual
CV01,15,6,SFRK-06-CV,TWO-RBF-06-CV,1.6148632380208578,0.7729838753773829,0.9214116188872773,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,15,8,SFRK-08-CV,TWO-RBF-08-CV,1.9433901403446794,0.8594112470239692,1.062953065628357,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,16,4,SFRK-04-CV,TWO-RBF-04-CV,1.3254448867834792,0.7045487954422686,0.8810560572065993,1.0,0.7595837366840206,1024,1024,0,same_cross_fitted_c06_residual
CV01,16,6,SFRK-06-CV,TWO-RBF-06-CV,1.6201970777834818,0.7731146075415936,0.9221074696600136,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,16,8,SFRK-08-CV,TWO-RBF-08-CV,1.9892040188496354,0.8598220192777107,1.0648182126904757,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,17,4,SFRK-04-CV,TWO-RBF-04-CV,1.325444886900369,0.7052050859873205,0.8799157461441345,1.0,0.7411557882817561,1024,1024,0,same_cross_fitted_c06_residual
CV01,17,6,SFRK-06-CV,TWO-RBF-06-CV,1.6260339737043765,0.7729235571752654,0.9233668973110566,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,17,8,SFRK-08-CV,TWO-RBF-08-CV,1.9718526631983324,0.861305641326163,1.0624943003746246,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,18,4,SFRK-04-CV,TWO-RBF-04-CV,1.3254448873327556,0.7054359340765026,0.879630353431513,1.0,0.7616154662053528,1024,1024,0,same_cross_fitted_c06_residual
CV01,18,6,SFRK-06-CV,TWO-RBF-06-CV,1.6251909869923882,0.7739668486442185,0.9214698966767148,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,18,8,SFRK-08-CV,TWO-RBF-08-CV,1.9653131290702877,0.8601451642236736,1.0620410628475065,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,19,4,SFRK-04-CV,TWO-RBF-04-CV,1.3254448874808333,0.705174249090221,0.8823450207767721,1.0,0.7595396987487794,1024,1024,0,same_cross_fitted_c06_residual
CV01,19,6,SFRK-06-CV,TWO-RBF-06-CV,1.6233825652364018,0.772406056985204,0.9196333100753241,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,19,8,SFRK-08-CV,TWO-RBF-08-CV,1.9413697247773622,0.8590910701977476,1.0611293822014465,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,20,4,SFRK-04-CV,TWO-RBF-04-CV,1.3254448865928394,0.7046990038201484,0.8795547280559365,1.0,0.7680934683878666,1024,1024,0,same_cross_fitted_c06_residual
CV01,20,6,SFRK-06-CV,TWO-RBF-06-CV,1.6184925482044465,0.7719953263983572,0.9182132918069559,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV01,20,8,SFRK-08-CV,TWO-RBF-08-CV,1.9664361987515055,0.862304112550149,1.0642229194639254,1.0,0.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,1,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369853819005,1.5035362882877938,1.7507618317017088,0.2860008212304982,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,1,6,SFRK-06-CV,TWO-RBF-06-CV,1.726300269097182,1.0178754810145354,1.0878008091543034,0.6298942221195888,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,1,8,SFRK-08-CV,TWO-RBF-08-CV,0.5541758531904347,0.7725953653906514,0.7426687164998141,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,2,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369864009513,1.503566699264107,1.7506723427593476,0.2861178241274982,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,2,6,SFRK-06-CV,TWO-RBF-06-CV,1.7206965241805356,1.0181614806086963,1.0878277028162335,0.626404562855756,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,2,8,SFRK-08-CV,TWO-RBF-08-CV,0.5438997160258494,0.7729146266372898,0.741189087504314,0.9973421336822217,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,3,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369871673927,1.5035728446809185,1.7507106863211803,0.28560804984283655,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,3,6,SFRK-06-CV,TWO-RBF-06-CV,1.7215438475000737,1.0181321530504275,1.0880909685306974,0.6286106948170271,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,3,8,SFRK-08-CV,TWO-RBF-08-CV,0.5552508330692363,0.7720827145943762,0.743843091088089,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,4,4,SFRK-04-CV,TWO-RBF-04-CV,1.95113698475071,1.5035634831273994,1.750635588784586,0.2856000628347175,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,4,6,SFRK-06-CV,TWO-RBF-06-CV,1.7206631235808616,1.0179764913294196,1.088085131836463,0.6281337018177992,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,4,8,SFRK-08-CV,TWO-RBF-08-CV,0.5463832205236968,0.7724472610412587,0.742356127492462,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,5,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369869610018,1.503582453973536,1.7506531806522876,0.28589607920875976,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,5,6,SFRK-06-CV,TWO-RBF-06-CV,1.7204684670243713,1.018096401001808,1.0883964450414967,0.6299520001333668,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,5,8,SFRK-08-CV,TWO-RBF-08-CV,0.5605608508592197,0.772376699032082,0.7420845886943058,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,6,4,SFRK-04-CV,TWO-RBF-04-CV,1.951136987063115,1.503537694181013,1.750721544353377,0.2858677004875656,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,6,6,SFRK-06-CV,TWO-RBF-06-CV,1.7248781728475837,1.0182250847725607,1.0885336162595156,0.6291534486686203,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,6,8,SFRK-08-CV,TWO-RBF-08-CV,0.5423489111173787,0.7722050768373689,0.7428087941895823,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,7,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369865250339,1.5036342273106718,1.7506976883984444,0.2862263878670287,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,7,6,SFRK-06-CV,TWO-RBF-06-CV,1.7162040348943537,1.0181635943666179,1.0887834050687584,0.6285788515583319,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,7,8,SFRK-08-CV,TWO-RBF-08-CV,0.5398131884872313,0.7724258480784681,0.7404323655216246,0.9931048792567114,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,8,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369870145956,1.5035489603463734,1.7506703545113869,0.2867718754244065,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,8,6,SFRK-06-CV,TWO-RBF-06-CV,1.7272331608293783,1.0179974817916233,1.0875312441340155,0.6276370313953263,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,8,8,SFRK-08-CV,TWO-RBF-08-CV,0.5611401894102146,0.7724503113598274,0.7426908317093517,1.0,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,9,4,SFRK-04-CV,TWO-RBF-04-CV,1.9511369877574247,1.5035275673049635,1.7506881809229884,0.28548934228261724,1.0,1024,1024,0,same_cross_fitted_c06_residual
CV02,9,6,SFRK-06-CV,TWO-RBF-06-CV,1.72554398099344,1.0180953775226742,1.0882002915890892,0.6335832226830989,1.0,1024,1024,0,same_cross_fitted_c06_residual
