outer_fold,seed_index,q,inner_fold,fit_rows,holdout_rows,fit_groups,holdout_groups,group_intersection_count,channel_source,validation_outcomes_used,candidate_weight,candidate_numerator,candidate_denominator,control_weight,control_numerator,control_denominator,weight_source
CV02,6,4,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,6,4,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,6,4,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,6,4,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,6,4,aggregate,1024,1024,,,,,0,0.2858677004875656,0.10360350879635959,0.3624176799955266,1.0,0.08946236505885626,0.0873700423007173,inner_grouped_out_of_fold_training_predictions
CV02,6,6,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,6,6,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,6,6,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,6,6,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,6,6,aggregate,1024,1024,,,,,0,0.6291534486686203,0.10896164566981772,0.17318771104314268,1.0,0.09626827876288069,0.046896754949279085,inner_grouped_out_of_fold_training_predictions
CV02,6,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,6,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,6,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,6,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,6,8,aggregate,1024,1024,,,,,0,1.0,0.08391568719056913,0.08324617294537326,1.0,0.035359480993838635,0.021706752497453918,inner_grouped_out_of_fold_training_predictions
CV02,7,4,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,7,4,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,7,4,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,7,4,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,7,4,aggregate,1024,1024,,,,,0,0.2862263878670287,0.10378429644296941,0.3625951374238219,1.0,0.08942524153192077,0.0873535366870806,inner_grouped_out_of_fold_training_predictions
CV02,7,6,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,7,6,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,7,6,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,7,6,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,7,6,aggregate,1024,1024,,,,,0,0.6285788515583319,0.10916811171924937,0.1736744903978345,1.0,0.09629220355767262,0.046974543298409804,inner_grouped_out_of_fold_training_predictions
CV02,7,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,7,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,7,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,7,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,7,8,aggregate,1024,1024,,,,,0,0.9931048792567114,0.08224025370725502,0.08281124725598737,1.0,0.03522256831177582,0.021616650680746065,inner_grouped_out_of_fold_training_predictions
CV02,8,4,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,8,4,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,8,4,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,8,4,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,8,4,aggregate,1024,1024,,,,,0,0.2867718754244065,0.10404909863558803,0.3628288111642786,1.0,0.0894415681814465,0.08733153676981259,inner_grouped_out_of_fold_training_predictions
CV02,8,6,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,8,6,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,8,6,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,8,6,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,8,6,aggregate,1024,1024,,,,,0,0.6276370313953263,0.10765481625908625,0.17152400332363166,1.0,0.09643767667955389,0.0469996636144901,inner_grouped_out_of_fold_training_predictions
CV02,8,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,8,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,8,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,8,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,8,8,aggregate,1024,1024,,,,,0,1.0,0.08243780667035625,0.08040712354186633,1.0,0.03542160309184622,0.021721330863034433,inner_grouped_out_of_fold_training_predictions
CV02,9,4,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,9,4,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,9,4,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,9,4,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,9,4,aggregate,1024,1024,,,,,0,0.28548934228261724,0.10340779334553926,0.36221244729749585,1.0,0.08949662439559812,0.08733369201006123,inner_grouped_out_of_fold_training_predictions
CV02,9,6,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,9,6,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,9,6,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,9,6,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,9,6,aggregate,1024,1024,,,,,0,0.6335832226830989,0.10666369436045874,0.16834993500736845,1.0,0.09636907189396383,0.0469565704973101,inner_grouped_out_of_fold_training_predictions
CV02,9,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,9,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,9,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,9,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,9,8,aggregate,1024,1024,,,,,0,0.9891553478267026,0.08177269215413831,0.08266921099279612,1.0,0.03534616907045526,0.02169353966467593,inner_grouped_out_of_fold_training_predictions
CV02,10,4,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,10,4,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,10,4,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,10,4,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,10,4,aggregate,1024,1024,,,,,0,0.2856985774734433,0.1035120884907463,0.3623122292247609,1.0,0.08950862833008585,0.08735681837816996,inner_grouped_out_of_fold_training_predictions
CV02,10,6,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,10,6,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,10,6,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,10,6,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,10,6,aggregate,1024,1024,,,,,0,0.6287099404115686,0.10913600605779664,0.17358721254884818,1.0,0.09624233123900229,0.046914776102173684,inner_grouped_out_of_fold_training_predictions
CV02,10,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,10,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,10,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,10,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,10,8,aggregate,1024,1024,,,,,0,1.0,0.08186423569367599,0.08125235662836292,1.0,0.03548423284533893,0.021748581161654967,inner_grouped_out_of_fold_training_predictions
CV02,11,4,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,11,4,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,11,4,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,11,4,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,11,4,aggregate,1024,1024,,,,,0,0.28543519966560266,0.10337191124749474,0.36215544322703913,1.0,0.08949292909212256,0.08734284119773159,inner_grouped_out_of_fold_training_predictions
CV02,11,6,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,11,6,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,11,6,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,11,6,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,11,6,aggregate,1024,1024,,,,,0,0.63143644808741,0.10926152580756734,0.17303645701561124,1.0,0.09628330239264056,0.04694558954277665,inner_grouped_out_of_fold_training_predictions
CV02,11,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,11,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,11,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,11,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,11,8,aggregate,1024,1024,,,,,0,1.0,0.08372436454033862,0.08208596429633808,1.0,0.035713520224185905,0.021882233187445033,inner_grouped_out_of_fold_training_predictions
CV02,12,4,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,12,4,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,12,4,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,12,4,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,12,4,aggregate,1024,1024,,,,,0,0.285973203271566,0.10358409004324377,0.3622160708004456,1.0,0.0894298822416976,0.08736361879865469,inner_grouped_out_of_fold_training_predictions
CV02,12,6,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,12,6,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,12,6,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,12,6,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,12,6,aggregate,1024,1024,,,,,0,0.6258429663065752,0.1105594939323485,0.17665692495486138,1.0,0.0963502265991153,0.04698196357152989,inner_grouped_out_of_fold_training_predictions
CV02,12,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,12,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,12,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,12,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,12,8,aggregate,1024,1024,,,,,0,1.0,0.08211304873491326,0.08105197873572795,1.0,0.03539210771303286,0.02164278210542907,inner_grouped_out_of_fold_training_predictions
CV02,13,4,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,13,4,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,13,4,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,13,4,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,13,4,aggregate,1024,1024,,,,,0,0.28582044780296917,0.10358131976933199,0.3623999632130447,1.0,0.0895105929857234,0.08734380782757294,inner_grouped_out_of_fold_training_predictions
CV02,13,6,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,13,6,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,13,6,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,13,6,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,13,6,aggregate,1024,1024,,,,,0,0.6276314353181252,0.1096226568496351,0.1746608768792326,1.0,0.09633001646551198,0.04695758508460577,inner_grouped_out_of_fold_training_predictions
CV02,13,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,13,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,13,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,13,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,13,8,aggregate,1024,1024,,,,,0,1.0,0.08417552614406895,0.08217976936856253,1.0,0.035448558168673594,0.021699949417871588,inner_grouped_out_of_fold_training_predictions
CV02,14,4,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,14,4,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,14,4,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,14,4,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,14,4,aggregate,1024,1024,,,,,0,0.28596801479636175,0.10365046587155735,0.3624547519601694,1.0,0.08941736273170463,0.08741207867027237,inner_grouped_out_of_fold_training_predictions
CV02,14,6,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,14,6,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,14,6,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,14,6,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,14,6,aggregate,1024,1024,,,,,0,0.6284844273928732,0.1088619763393752,0.1732134824580534,1.0,0.09636302941103145,0.046968001840988774,inner_grouped_out_of_fold_training_predictions
CV02,14,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,14,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,14,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,14,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,14,8,aggregate,1024,1024,,,,,0,1.0,0.08370220511445944,0.08235785413834495,1.0,0.035597458153192825,0.021879038783168707,inner_grouped_out_of_fold_training_predictions
CV02,15,4,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,15,4,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,15,4,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,15,4,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,15,4,aggregate,1024,1024,,,,,0,0.28551062679244826,0.10342101318866762,0.3622317472051555,1.0,0.08952309208565304,0.08737136276017676,inner_grouped_out_of_fold_training_predictions
CV02,15,6,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,15,6,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,15,6,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,15,6,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,15,6,aggregate,1024,1024,,,,,0,0.6287347985394683,0.10770609721092679,0.17130608558827148,1.0,0.0964210380936663,0.046985242026593224,inner_grouped_out_of_fold_training_predictions
CV02,15,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,15,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,15,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,15,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,15,8,aggregate,1024,1024,,,,,0,1.0,0.08370541262059923,0.0822638887505353,1.0,0.03535113657111273,0.021720369467829743,inner_grouped_out_of_fold_training_predictions
CV02,16,4,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,16,4,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,16,4,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,16,4,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,16,4,aggregate,1024,1024,,,,,0,0.2863373342866967,0.10383362990714665,0.36262693499542986,1.0,0.08946840408330425,0.08734716533204769,inner_grouped_out_of_fold_training_predictions
CV02,16,6,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,16,6,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,16,6,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,16,6,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,16,6,aggregate,1024,1024,,,,,0,0.6296926683777258,0.10703551735664552,0.16998056787353205,1.0,0.09629342515972578,0.04694631062081227,inner_grouped_out_of_fold_training_predictions
CV02,16,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,16,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,16,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,16,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,16,8,aggregate,1024,1024,,,,,0,1.0,0.08303921759429705,0.08219232594490197,1.0,0.035548073037094466,0.02175141295413625,inner_grouped_out_of_fold_training_predictions
CV02,17,4,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,17,4,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,17,4,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,17,4,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,17,4,aggregate,1024,1024,,,,,0,0.2860189817538793,0.10367187955763686,0.36246503264194896,1.0,0.08944290253638129,0.08733431134070703,inner_grouped_out_of_fold_training_predictions
CV02,17,6,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,17,6,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,17,6,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,17,6,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,17,6,aggregate,1024,1024,,,,,0,0.6311250127483781,0.10786997384739079,0.1709169683794441,1.0,0.09630447932940975,0.04696199647044109,inner_grouped_out_of_fold_training_predictions
CV02,17,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,17,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,17,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,17,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV02,17,8,aggregate,1024,1024,,,,,0,1.0,0.08242004234305264,0.08187255786570556,1.0,0.03560017437133715,0.021770910934317756,inner_grouped_out_of_fold_training_predictions
