model_id,config_id,outer_fold,seed_index,validation_rows,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,brier,auroc,recall,precision,ece
C06,C06,CV01,1,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-GFRK-04-L010,EC-GFRK-04-L010,CV01,1,6500,0.014558216040591496,0.013144079149228978,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-SHR-q4-L010,EC-TAP-RBF-SHR-q4-L010,CV01,1,6500,0.014841222977998982,0.012099665645973333,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-GFRK-06-L010,EC-GFRK-06-L010,CV01,1,6500,0.014315451367113456,0.013522153744219653,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-SHR-q6-L010,EC-TAP-RBF-SHR-q6-L010,CV01,1,6500,0.014733628575389238,0.012269998781533738,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-GFRK-08-L010,EC-GFRK-08-L010,CV01,1,6500,0.014036802503249315,0.013598456824815234,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-SHR-q8-L010,EC-TAP-RBF-SHR-q8-L010,CV01,1,6500,0.01472525159487799,0.01248745290735773,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,2,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-GFRK-04-L010,EC-GFRK-04-L010,CV01,2,6500,0.014558216040727642,0.013144079148854277,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-SHR-q4-L010,EC-TAP-RBF-SHR-q4-L010,CV01,2,6500,0.01484120562431655,0.012101023325196084,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-GFRK-06-L010,EC-GFRK-06-L010,CV01,2,6500,0.01431486122707503,0.013517626934101372,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
