outer_fold,seed_index,config_id,fit_rows,fit_features,validation_rows,projection_components,projection_hash,conditioning_feature,train_conditioning_hash,validation_conditioning_hash,validation_outcomes_used
CV01,17,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,17,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,17,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,18,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,18,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,18,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,19,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,19,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,19,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,20,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,20,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,20,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV02,1,EC-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,c15f706f643cff80d482e61e1002ad6819590661bfb760d4116186ccbd2914a0,f8a1a602a16c8443572432ccc34773c0e415b2e089afc6c8bf30ccc88f1b4671,0
CV02,1,EC-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,c15f706f643cff80d482e61e1002ad6819590661bfb760d4116186ccbd2914a0,f8a1a602a16c8443572432ccc34773c0e415b2e089afc6c8bf30ccc88f1b4671,0
CV02,1,EC-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,c15f706f643cff80d482e61e1002ad6819590661bfb760d4116186ccbd2914a0,f8a1a602a16c8443572432ccc34773c0e415b2e089afc6c8bf30ccc88f1b4671,0
CV02,2,EC-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,c15f706f643cff80d482e61e1002ad6819590661bfb760d4116186ccbd2914a0,f8a1a602a16c8443572432ccc34773c0e415b2e089afc6c8bf30ccc88f1b4671,0
CV02,2,EC-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,c15f706f643cff80d482e61e1002ad6819590661bfb760d4116186ccbd2914a0,f8a1a602a16c8443572432ccc34773c0e415b2e089afc6c8bf30ccc88f1b4671,0
CV02,2,EC-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,c15f706f643cff80d482e61e1002ad6819590661bfb760d4116186ccbd2914a0,f8a1a602a16c8443572432ccc34773c0e415b2e089afc6c8bf30ccc88f1b4671,0
CV02,3,EC-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,c15f706f643cff80d482e61e1002ad6819590661bfb760d4116186ccbd2914a0,f8a1a602a16c8443572432ccc34773c0e415b2e089afc6c8bf30ccc88f1b4671,0
CV02,3,EC-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,c15f706f643cff80d482e61e1002ad6819590661bfb760d4116186ccbd2914a0,f8a1a602a16c8443572432ccc34773c0e415b2e089afc6c8bf30ccc88f1b4671,0
CV02,3,EC-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,c15f706f643cff80d482e61e1002ad6819590661bfb760d4116186ccbd2914a0,f8a1a602a16c8443572432ccc34773c0e415b2e089afc6c8bf30ccc88f1b4671,0
CV02,4,EC-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,c15f706f643cff80d482e61e1002ad6819590661bfb760d4116186ccbd2914a0,f8a1a602a16c8443572432ccc34773c0e415b2e089afc6c8bf30ccc88f1b4671,0
