audit_label,fidelity,split,group_id,base_trajectory,uncertainty_family,expected_records,observed_records,expected_decision_sets,observed_decision_sets,schema_error_records,relationship_error_records,nonfinite_records,feasible_records,feasibility_rate,no_reference_feasible_sets,no_reference_feasible_rate,nonconverged_records,median_robust_delta_v_m_s,median_terminal_position_error_km,p95_terminal_position_error_km,median_terminal_velocity_error_m_s,uncertainty_conformance,uncertainty_notes,payload_sha256,latest_ledger_sha256,ledger_matches_payload,audit_status,error_example
post_d003_f0,F0,development,G01,C01,U0,500,500,100,100,0,0,0,400,0.8,0,0.0,0,0.0,0.0,36.742756451,0.0,true,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0;observed_pointing_deg=0,ae4ba2176c29a54826c1686646b5fea4ec7324d63befba9bf203a706142cc3b7,ae4ba2176c29a54826c1686646b5fea4ec7324d63befba9bf203a706142cc3b7,true,valid,
post_d003_f0,F0,development,G02,C02,U1,500,500,100,100,0,0,0,147,0.294,16,0.16,0,0.169476532,28.675192438,113.774379008,0.092467023,true,observed_nav_position_km=0.664559782;observed_nav_velocity_m_s=0.00658108032;observed_thrust_fraction=0;observed_pointing_deg=0,81dde910bcd2fbf000485a475ae531a2e1871438947c277a24dec24824522280,81dde910bcd2fbf000485a475ae531a2e1871438947c277a24dec24824522280,true,valid,
post_d003_f0,F0,development,G03,C03,U2,500,500,100,100,0,0,0,131,0.262,12,0.12,0,0.278897065,23.883597816,79.680136358,0.072763146,true,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0.00211252866;observed_pointing_deg=0.0297913542,174b0bd9f40d364ede64eb587a9a4b0afe79df7b0a6b13a985aa57d6217e9f46,174b0bd9f40d364ede64eb587a9a4b0afe79df7b0a6b13a985aa57d6217e9f46,true,valid,
post_d003_f0,F0,development,G04,C04,U3,500,500,100,100,0,0,0,17,0.034,83,0.83,0,0.344699209,24.333641931,96.343644815,0.085226008,true,observed_nav_position_km=0.688092661;observed_nav_velocity_m_s=0.00666489753;observed_thrust_fraction=0.00210749213;observed_pointing_deg=0.0298738397,0d0ec96500808c8d6b55720e746248a74fdadbfe31cb98bf59dcb8f7f7cd1fb0,0d0ec96500808c8d6b55720e746248a74fdadbfe31cb98bf59dcb8f7f7cd1fb0,true,valid,
post_d003_f0,F0,development,G05,C05,U4,500,500,100,100,0,0,0,195,0.39,4,0.04,0,0.332885492,19.700909943,79.179654481,0.075653718,true,observed_nav_position_km=0.662520771;observed_nav_velocity_m_s=0.00657607484;observed_thrust_fraction=0.00205105717;observed_pointing_deg=0.0293231948,cabe64fb0909f4e70e84d5994c8c713917f7165ec74f73c8b589fa5be69493fa,cabe64fb0909f4e70e84d5994c8c713917f7165ec74f73c8b589fa5be69493fa,true,valid,
post_d003_f0,F0,development,G06,C06,U0,500,500,100,100,0,0,0,414,0.828,0,0.0,0,0.0,0.0,33.221586715,0.0,true,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0;observed_pointing_deg=0,5f62505503dfdde02d2b7dba79623a7a8c6f9b9405cbea636ee7ac81bcca08de,5f62505503dfdde02d2b7dba79623a7a8c6f9b9405cbea636ee7ac81bcca08de,true,valid,
post_d003_f0,F0,development,G07,C07,U1,500,500,100,100,0,0,0,119,0.238,35,0.35,0,0.144955568,15.978791209,88.699981974,3.546067534,true,observed_nav_position_km=0.671020823;observed_nav_velocity_m_s=0.00667440099;observed_thrust_fraction=0;observed_pointing_deg=0,42978cd9a53a75bb21b7fbe65c1f043f521a3692d0598a0e549030b395d78ac4,42978cd9a53a75bb21b7fbe65c1f043f521a3692d0598a0e549030b395d78ac4,true,valid,
post_d003_f0,F0,development,G08,C08,U2,500,500,100,100,0,0,0,143,0.286,6,0.06,0,0.281652114,13.682735056,77.44459032,2.255583708,true,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0.00207355621;observed_pointing_deg=0.0295152332,5e6337b1bff9c701b33262acd8884c32f2700f730496dac04a76bc5e0c849ef2,5e6337b1bff9c701b33262acd8884c32f2700f730496dac04a76bc5e0c849ef2,true,valid,
post_d003_f0,F0,development,G09,T01,U3,500,500,100,100,0,0,0,80,0.16,36,0.36,0,0.412874544,43.429804119,236.425120114,0.226298295,true,observed_nav_position_km=0.683588981;observed_nav_velocity_m_s=0.00683560964;observed_thrust_fraction=0.00208527445;observed_pointing_deg=0.0308175257,b50b5e660b375bdf34baac1b10dfa00ada5c68ee6a35640b8c1b58aa486f3b98,b50b5e660b375bdf34baac1b10dfa00ada5c68ee6a35640b8c1b58aa486f3b98,true,valid,
post_d003_f0,F0,development,G10,T02,U4,500,500,100,100,0,0,0,104,0.208,25,0.25,0,0.359323767,30.600947361,152.21499149,0.131200381,true,observed_nav_position_km=0.665176514;observed_nav_velocity_m_s=0.00656300824;observed_thrust_fraction=0.00207479323;observed_pointing_deg=0.0296200827,9d24edfda22179db8ef7b72a9172eb3a59162ebdf1abe6279f76ede2e173a428,9d24edfda22179db8ef7b72a9172eb3a59162ebdf1abe6279f76ede2e173a428,true,valid,
