comparison,seed_count,mean_difference,lower_95,upper_95
NSORFRK-08_minus_C06_nrmse,20,-0.00024268125404603466,-0.00024381738755974912,-0.00024151742641569262
NSORFRK-08_minus_NSO-TWO-RBF-08_mean_nrmse,20,-0.00017483884561342658,,
