outer_fold,seed_index,q,common_target_l2,first_stage_rbf25_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,candidate_lambda,control_lambda,validation_outcomes_used,stage_order,channel_source
CV02,9,8,0.5957717486237579,0.7724682330767871,0.909409866208959,0.6189394097736436,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV02,10,8,0.5956519413790858,0.7728210831453561,0.8879127471959405,0.6159253396892305,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV02,11,8,0.5958721553849483,0.7727532995551508,0.8726574831087138,0.6183003226176885,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV02,12,8,0.595779312727236,0.7723388603574786,0.9080008415576291,0.610193089830633,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV02,13,8,0.595715173718829,0.7723517521107155,0.8823545669332468,0.6148260433632184,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV02,14,8,0.5957258749044931,0.7728558748391879,0.8814841178917422,0.612831959737567,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV02,15,8,0.5955732257597659,0.772397065948121,0.8802260386354365,0.6151279767391422,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV02,16,8,0.595708415290446,0.7726641267010342,0.9126408710675112,0.6153860641916462,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV02,17,8,0.5957328521153219,0.7723883823142795,0.8939387499229503,0.6134175808681178,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV02,18,8,0.5957714619372739,0.7724290528108406,0.9059190725532551,0.6136862659694773,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV02,19,8,0.5958445447440758,0.7724103291719087,0.8863118474128218,0.6152019549224884,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV02,20,8,0.5955129919586996,0.7719926926533569,0.8879650176896587,0.614522058942942,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,1,8,1.0917908420478246,1.7047037556827622,1.6365630815801417,1.004291004853398,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,2,8,1.0919176898515948,1.7053656576054135,1.6556299210246854,1.0069546465997634,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,3,8,1.0919544349591308,1.708928504880237,1.6329628066998056,1.019278605930013,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,4,8,1.091835456336082,1.703211871716956,1.699090661031741,1.0088933686521893,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,5,8,1.0919828207157998,1.7026330104646705,1.6702931971754185,1.003039910405503,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,6,8,1.0917913429013832,1.7045042734697513,1.6561354496791112,1.0146095257953656,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,7,8,1.0915517558059642,1.7078321967623502,1.6410773040168072,1.0079400878022378,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,8,8,1.092206954168136,1.7019605433199807,1.650936683517305,1.0168682948110939,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,9,8,1.0921649494218104,1.7080897703119948,1.6690327083717802,1.0108583085133502,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,10,8,1.0918786678256804,1.7018975277852473,1.675243523840731,1.0024887193810779,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
CV03,11,8,1.0915975752103146,1.7041419605422055,1.6819622308430358,1.013340687468078,0.05,0.05,0,shared_q8_rbf25_then_nested_shrinkage_e2,inner_oof_selection_then_outer_refit
