outer_fold,seed_index,q,inner_fold,fit_rows,holdout_rows,fit_groups,holdout_groups,group_intersection_count,channel_source,validation_outcomes_used,stage
CV01,10,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,11,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,11,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,11,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,11,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,12,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,12,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,12,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,12,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,13,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,13,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,13,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,13,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,14,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,14,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,14,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,14,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,15,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,15,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,15,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,15,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,16,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,16,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,16,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,16,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,17,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,17,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,17,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,17,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,18,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,18,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,18,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,18,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,19,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,19,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,19,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,19,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,20,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,20,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,20,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV01,20,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,1,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,1,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,1,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,1,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,2,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,2,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,2,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,2,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,3,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,3,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,3,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,3,8,4,786,238,G02;G03;G05;G06;G08;G09;G10,G07;G11,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,4,8,1,792,232,G02;G03;G07;G08;G09;G10;G11,G05;G06,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,4,8,2,686,338,G05;G06;G07;G08;G09;G11,G02;G03;G10,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
CV02,4,8,3,808,216,G02;G03;G05;G06;G07;G10;G11,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,shared_q8_rbf25
