outer_fold,seed_index,q,common_target_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,validation_outcomes_used,stage_order,channel_source
CV01,12,4,1.2716720699890827,1.1723460259701164,0.5429326967818705,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,12,6,1.2716720699890827,1.3571799588457054,0.3367865479551108,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,12,8,1.2716720699890827,1.7323108047804867,0.20691923110983823,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,13,4,1.2724155597639901,1.1716658268659823,0.5411962695572666,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,13,6,1.2724155597639901,1.3519039368530361,0.33651353325719113,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,13,8,1.2724155597639901,1.7435730533489353,0.20624798898932334,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,14,4,1.271669628918096,1.1716962620196256,0.5413840025749772,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,14,6,1.271669628918096,1.341593039164723,0.3423328399196201,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,14,8,1.271669628918096,1.7643953757868527,0.20901857693038553,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,15,4,1.271414014498456,1.1715845323345093,0.544268226052421,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,15,6,1.271414014498456,1.3429201692525634,0.3349616062814895,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,15,8,1.271414014498456,1.7756431710584815,0.20730521797886817,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,16,4,1.2718390686468226,1.171453422134422,0.5409429223381389,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,16,6,1.2718390686468226,1.3498288415515791,0.33765223633712493,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,16,8,1.2718390686468226,1.7314657052273466,0.2160694670957562,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,17,4,1.2720946366593855,1.1716661516317053,0.5417755824891878,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,17,6,1.2720946366593855,1.3493686773539044,0.3381532931524884,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,17,8,1.2720946366593855,1.763082615398072,0.20240910051741703,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,18,4,1.2720493268206987,1.1711303513181446,0.5423946434519789,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,18,6,1.2720493268206987,1.3538565415205068,0.3387042173287073,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,18,8,1.2720493268206987,1.7445441529426138,0.20974747498719357,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,19,4,1.2716981777114276,1.1710292174036248,0.5401457077104242,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,19,6,1.2716981777114276,1.3439819286691304,0.3342487271108506,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,19,8,1.2716981777114276,1.7727576605812507,0.20444941697978858,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,20,4,1.26920167510894,1.1706160368711258,0.5383938135414327,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
