comparison,seed_count,mean_difference,lower_95,upper_95
OMFRK-ALL_minus_C06_nrmse,20,0.00011913262970658193,0.00011337192459171472,0.00012500884923932276
OMFRK-ALL_minus_OM-TWO-RBF_mean_nrmse,20,0.00014700862618817478,,
