outer_fold,seed_index,fit_rows,candidate_feature_columns,control_feature_columns,stack_ridge,candidate_coefficients,control_coefficients,feature_order,common_target_l2,validation_outcomes_used
CV05,2,1024,4,4,0.001,0.007438752682218729;0.03288655562011536;-0.2655895539090709;-0.5499844367144212,0.007578061784351369;0.3642861558444891;-0.4994164701418917;-0.9156566428205758,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0335080939427166,0
CV05,3,1024,4,4,0.001,0.007289419749361867;0.04571698278850228;-0.3286356303550612;-0.4857116467841335,0.007447732512496091;0.3807712981257958;-0.4953779637100314;-0.9399975010908634,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0336650521754946,0
CV05,4,1024,4,4,0.001,0.007233638329180188;0.06446536575321157;-0.3669379772978817;-0.4782711239126213,0.007459232327556162;0.3827158950210118;-0.5154263310460242;-0.9213809664968471,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.033760746496208,0
CV05,5,1024,4,4,0.001,0.007386999162979489;0.05484393495619588;-0.3534576593201325;-0.4710671176252303,0.007299501430549695;0.3653141077498093;-0.6197455433666073;-0.7983007784034385,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0328756256235492,0
CV05,6,1024,4,4,0.001,0.007259351817332887;0.05791035484645362;-0.337300969905084;-0.5095623701645524,0.007260142858263047;0.3631126101815769;-0.541913621683655;-0.8768034434985368,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0337219223046605,0
CV05,7,1024,4,4,0.001,0.007186965669452793;0.054741897150305;-0.3728030644684425;-0.4479950462091832,0.007457087589869269;0.3827114868535462;-0.5330313703699113;-0.9064466346686783,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0342861820994775,0
CV05,8,1024,4,4,0.001,0.007161999272258756;0.03459311959266442;-0.2920536061423072;-0.5195842966778518,0.007410241718611228;0.4062355680334621;-0.4474827122361176;-1.017494183098034,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0346461900615131,0
CV05,9,1024,4,4,0.001,0.007259797335527566;0.04930209722420379;-0.3321597676939348;-0.4902498902008158,0.007461866144139645;0.4027282221446912;-0.5083016026792399;-0.9465156728599481,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0335463465766446,0
CV05,10,1024,4,4,0.001,0.007199509881137368;0.0411680644338645;-0.2996864217288782;-0.526366730831931,0.007530996647558515;0.3697664296105246;-0.4850136754399042;-0.944438703395608,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0337574171888453,0
CV05,11,1024,4,4,0.001,0.007422156770732958;0.06537949597914626;-0.3626996324971711;-0.4864361667951158,0.007504706256819644;0.3836820797002942;-0.4749429110147818;-0.9703815621313503,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0341757103087872,0
CV05,12,1024,4,4,0.001,0.007205645644359957;0.05537252963173176;-0.3533990195672506;-0.4761816922544589,0.007392770923810338;0.3576917033675661;-0.4967090460910719;-0.9186955474728685,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0339201975676575,0
CV05,13,1024,4,4,0.001,0.007551898434058108;0.07465866683407422;-0.3998680742087227;-0.4529989415528122,0.007398748627802175;0.3806063309284743;-0.5539640230466326;-0.8808163637591978,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0336853957281427,0
CV05,14,1024,4,4,0.001,0.007337827595625544;0.04889062236052542;-0.3199534822181671;-0.5143153701278917,0.007380573462892166;0.374464979076046;-0.5294733469316324;-0.9040543080922431,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0338054540442232,0
CV05,15,1024,4,4,0.001,0.00730512539142588;0.04857096966045203;-0.2923932386906229;-0.5360501270209378,0.007429613890513949;0.3961407296535463;-0.4935853312310391;-0.95806798850105,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0338197890496372,0
CV05,16,1024,4,4,0.001,0.007325780373300385;0.06340882106010486;-0.3647083398226343;-0.4812892154006158,0.007379467598770784;0.3924213996278182;-0.5048026170327241;-0.9433547533804478,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0344743351307608,0
CV05,17,1024,4,4,0.001,0.007331608673960415;0.06561106472450311;-0.4049064905684335;-0.4353581937646474,0.007424497718853599;0.3793612666716359;-0.4950288060526088;-0.9478455596114133,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0336930971261573,0
CV05,18,1024,4,4,0.001,0.007225347152750572;0.05233378010274379;-0.3378509666879939;-0.4923807079707703,0.007387922141645856;0.367749332297832;-0.5201375288407291;-0.9064938316013695,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0333671767763875,0
CV05,19,1024,4,4,0.001,0.007280441756275678;0.04659614766367538;-0.3269935765596063;-0.5032916752793837,0.007407204582709392;0.3680433675224171;-0.5152950911947278;-0.9069561788691448,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0335640223864726,0
CV05,20,1024,4,4,0.001,0.007373042158111334;0.06158367097671241;-0.3379291904667608;-0.5141404253561707,0.007348156319401026;0.3724667921545775;-0.5522644069373303;-0.8746870921934312,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0338998866391156,0
