window_id,tool,execution_status,gmat_executable_sha256,gmat_archive_sha256,model,gmat_integrator,python_endpoint_x_km,python_endpoint_y_km,python_endpoint_z_km,python_endpoint_vx_km_s,python_endpoint_vy_km_s,python_endpoint_vz_km_s,gmat_endpoint_x_km,gmat_endpoint_y_km,gmat_endpoint_z_km,gmat_endpoint_vx_km_s,gmat_endpoint_vy_km_s,gmat_endpoint_vz_km_s,endpoint_position_difference_km,position_upper_km,position_status,endpoint_velocity_difference_m_s,velocity_upper_m_s,velocity_status,overall_status,note
V01,NASA GMAT R2026a,completed,36c880ad6c3f5e69b2e7e90c9d9cec4086eced9c1073fc5b289966d54db15f5f,f7b00bdeb51e75f5f0a93380a97109f0505e75396f69a43cd5583c21f5fed9fc,DE440s SPICE; Earth exact point mass and J2; Luna and Sun exact point masses; no drag/SRP/relativity/tides,RungeKutta89 accuracy=1e-13 max_step=150 s,-109500.588840270604123,-225740.613611463544657,-123986.475283390129334,-0.172310704433432,-0.917197181895886,-0.498400801729586,-109500.588832984198234,-225740.613615491689416,-123986.475269715403556,-0.172310703720241,-0.917197182293518,-0.498400800427941,0.000016009865,0.100000000000,pass,0.000001536565,0.010000000000,pass,pass,NASA GMAT R2026a console completed the generated same-force script.
V02,NASA GMAT R2026a,completed,36c880ad6c3f5e69b2e7e90c9d9cec4086eced9c1073fc5b289966d54db15f5f,f7b00bdeb51e75f5f0a93380a97109f0505e75396f69a43cd5583c21f5fed9fc,DE440s SPICE; Earth exact point mass and J2; Luna and Sun exact point masses; no drag/SRP/relativity/tides,RungeKutta89 accuracy=1e-13 max_step=150 s,-125773.543780195526779,-337528.540541874768678,-184883.729731196974171,-0.152763226945131,-0.408865586868587,-0.229933511396793,-125773.542142665697611,-337528.541303994890768,-184883.728667746501742,-0.152763013403310,-0.408865701645767,-0.229933382155840,0.002096010002,0.100000000000,pass,0.000274731022,0.010000000000,pass,pass,NASA GMAT R2026a console completed the generated same-force script.
V03,NASA GMAT R2026a,completed,36c880ad6c3f5e69b2e7e90c9d9cec4086eced9c1073fc5b289966d54db15f5f,f7b00bdeb51e75f5f0a93380a97109f0505e75396f69a43cd5583c21f5fed9fc,DE440s SPICE; Earth exact point mass and J2; Luna and Sun exact point masses; no drag/SRP/relativity/tides,RungeKutta89 accuracy=1e-13 max_step=150 s,-133745.017577183258254,-341024.640088434622157,-187984.299724353884812,-0.111794743009051,0.390683201676425,0.127536427188000,-133745.027979145495920,-341024.680552996287588,-187984.279781738005113,-0.111796787628468,0.390680664619540,0.127539180082367,0.046295674715,0.100000000000,pass,0.004265624643,0.010000000000,pass,pass,NASA GMAT R2026a console completed the generated same-force script.
V04,NASA GMAT R2026a,completed,36c880ad6c3f5e69b2e7e90c9d9cec4086eced9c1073fc5b289966d54db15f5f,f7b00bdeb51e75f5f0a93380a97109f0505e75396f69a43cd5583c21f5fed9fc,DE440s SPICE; Earth exact point mass and J2; Luna and Sun exact point masses; no drag/SRP/relativity/tides,RungeKutta89 accuracy=1e-13 max_step=150 s,-83150.178356437274488,-256552.617712929233676,-151379.169759537180653,0.442230876852950,0.717837435070791,0.345611699533879,-83150.178345879758126,-256552.617737699591089,-151379.169759979413357,0.442230877745892,0.717837432889146,0.345611699466641,0.000026930045,0.100000000000,pass,0.000002358270,0.010000000000,pass,pass,NASA GMAT R2026a console completed the generated same-force script.
V05,NASA GMAT R2026a,completed,36c880ad6c3f5e69b2e7e90c9d9cec4086eced9c1073fc5b289966d54db15f5f,f7b00bdeb51e75f5f0a93380a97109f0505e75396f69a43cd5583c21f5fed9fc,DE440s SPICE; Earth exact point mass and J2; Luna and Sun exact point masses; no drag/SRP/relativity/tides,RungeKutta89 accuracy=1e-13 max_step=150 s,-47871.774778993829386,-194456.928361644706456,-120219.201513864391018,0.541074584403270,1.038163343453517,0.540328185253307,-47871.774774159159278,-194456.928371456888271,-120219.201515356995515,0.541074584847508,1.038163342530733,0.540328185097384,0.000011039964,0.100000000000,pass,0.000001035949,0.010000000000,pass,pass,NASA GMAT R2026a console completed the generated same-force script.
