window_id,phase,start_utc,stop_utc,duration_s,nominal_rtol,nominal_atol,nominal_max_step_s,tightened_rtol,tightened_atol,tightened_max_step_s,nominal_endpoint_x_km,tightened_endpoint_x_km,nominal_endpoint_y_km,tightened_endpoint_y_km,nominal_endpoint_z_km,tightened_endpoint_z_km,nominal_endpoint_vx_km_s,tightened_endpoint_vx_km_s,nominal_endpoint_vy_km_s,tightened_endpoint_vy_km_s,nominal_endpoint_vz_km_s,tightened_endpoint_vz_km_s,endpoint_position_difference_km,position_upper_km,position_status,endpoint_velocity_difference_m_s,velocity_upper_m_s,velocity_status,overall_status
V01,outbound_mid,2026-04-04T11:00:00Z,2026-04-04T17:00:00Z,21600.0,1.0e-11,1.0e-13,300.0,1.0e-13,1.0e-15,150.0,-109500.588840270604123,-109500.588840271462686,-225740.613611463544657,-225740.613611464097630,-123986.475283390129334,-123986.475283390522236,-0.172310704433432,-0.172310704433446,-0.917197181895886,-0.917197181895902,-0.498400801729586,-0.498400801729596,0.000000001094,0.010000000000,pass,0.000000000023,0.001000000000,pass,pass
V02,outbound_late,2026-04-06T11:00:00Z,2026-04-06T17:00:00Z,21600.0,1.0e-11,1.0e-13,300.0,1.0e-13,1.0e-15,150.0,-125773.543780195526779,-125773.543780168183730,-337528.540541874768678,-337528.540541885537095,-184883.729731196974171,-184883.729731200844981,-0.152763226945131,-0.152763226930644,-0.408865586868587,-0.408865586872897,-0.229933511396793,-0.229933511397606,0.000000029641,0.010000000000,pass,0.000000015136,0.001000000000,pass,pass
V03,lunar_flyby,2026-04-06T19:00:00Z,2026-04-07T01:00:00Z,21600.0,1.0e-11,1.0e-13,300.0,1.0e-13,1.0e-15,150.0,-133745.017577183258254,-133745.017580335348612,-341024.640088434622157,-341024.640098228701390,-187984.299724353884812,-187984.299728594749467,-0.111794743009051,-0.111794743497044,0.390683201676425,0.390683200771290,0.127536427188000,0.127536426781772,0.000011128549,0.010000000000,pass,0.000001105634,0.001000000000,pass,pass
V04,return_mid,2026-04-08T16:00:00Z,2026-04-08T22:00:00Z,21600.0,1.0e-11,1.0e-13,300.0,1.0e-13,1.0e-15,150.0,-83150.178356437274488,-83150.178356438700575,-256552.617712929233676,-256552.617712926206877,-151379.169759537180653,-151379.169759536016500,0.442230876852950,0.442230876852922,0.717837435070791,0.717837435070835,0.345611699533879,0.345611699533895,0.000000003543,0.010000000000,pass,0.000000000055,0.001000000000,pass,pass
V05,return_late,2026-04-09T12:00:00Z,2026-04-09T18:00:00Z,21600.0,1.0e-11,1.0e-13,300.0,1.0e-13,1.0e-15,150.0,-47871.774778993829386,-47871.774778994178632,-194456.928361644706456,-194456.928361642552773,-120219.201513864391018,-120219.201513863445143,0.541074584403270,0.541074584403243,1.038163343453517,1.038163343453697,0.540328185253307,0.540328185253388,0.000000002378,0.010000000000,pass,0.000000000198,0.001000000000,pass,pass
