comparison,seed_count,mean_difference,lower_95,upper_95
SSORFRK-08_minus_C06_nrmse,20,-0.00026637720616832995,-0.0002676660283235568,-0.0002650532380462052
SSORFRK-08_minus_SSO-TWO-RBF-08_mean_nrmse,20,-0.0001802114873177673,,
