outer_fold,seed_index,q,eta,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV01,4,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.621113072651355,0.77307088099064,0.9208979533331632,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.621113072651355,0.77307088099064,0.9208979533331632,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.963301310412782,0.8598366368900328,1.059573053761769,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.963301310412782,0.8598366368900328,1.059573053761769,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.963301310412782,0.8598366368900328,1.059573053761769,1024,1024,0,same_cross_fitted_c06_residual
CV01,5,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448872744207,0.7042139882436147,0.8786145708124556,1024,1024,0,same_cross_fitted_c06_residual
CV01,5,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448872744207,0.7042139882436147,0.8786145708124556,1024,1024,0,same_cross_fitted_c06_residual
CV01,5,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448872744207,0.7042139882436147,0.8786145708124556,1024,1024,0,same_cross_fitted_c06_residual
CV01,5,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6141835031536271,0.774455219847993,0.9236404916705607,1024,1024,0,same_cross_fitted_c06_residual
CV01,5,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6141835031536271,0.774455219847993,0.9236404916705607,1024,1024,0,same_cross_fitted_c06_residual
CV01,5,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6141835031536271,0.774455219847993,0.9236404916705607,1024,1024,0,same_cross_fitted_c06_residual
CV01,5,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.977022577997515,0.8600639287573792,1.0629278417730568,1024,1024,0,same_cross_fitted_c06_residual
CV01,5,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.977022577997515,0.8600639287573792,1.0629278417730568,1024,1024,0,same_cross_fitted_c06_residual
CV01,5,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.977022577997515,0.8600639287573792,1.0629278417730568,1024,1024,0,same_cross_fitted_c06_residual
CV01,6,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.32544488752318,0.7035880172434751,0.8780733606198794,1024,1024,0,same_cross_fitted_c06_residual
CV01,6,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.32544488752318,0.7035880172434751,0.8780733606198794,1024,1024,0,same_cross_fitted_c06_residual
CV01,6,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.32544488752318,0.7035880172434751,0.8780733606198794,1024,1024,0,same_cross_fitted_c06_residual
CV01,6,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6211752422123544,0.7741839085252653,0.922160267367385,1024,1024,0,same_cross_fitted_c06_residual
CV01,6,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6211752422123544,0.7741839085252653,0.922160267367385,1024,1024,0,same_cross_fitted_c06_residual
CV01,6,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6211752422123544,0.7741839085252653,0.922160267367385,1024,1024,0,same_cross_fitted_c06_residual
CV01,6,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9666117167356711,0.8603215695828925,1.0629713131470686,1024,1024,0,same_cross_fitted_c06_residual
CV01,6,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9666117167356711,0.8603215695828925,1.0629713131470686,1024,1024,0,same_cross_fitted_c06_residual
CV01,6,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9666117167356711,0.8603215695828925,1.0629713131470686,1024,1024,0,same_cross_fitted_c06_residual
CV01,7,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448869206328,0.7045757808851788,0.8814740821092952,1024,1024,0,same_cross_fitted_c06_residual
CV01,7,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448869206328,0.7045757808851788,0.8814740821092952,1024,1024,0,same_cross_fitted_c06_residual
CV01,7,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448869206328,0.7045757808851788,0.8814740821092952,1024,1024,0,same_cross_fitted_c06_residual
CV01,7,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.619115316911392,0.7734791878871257,0.9230881824887374,1024,1024,0,same_cross_fitted_c06_residual
CV01,7,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.619115316911392,0.7734791878871257,0.9230881824887374,1024,1024,0,same_cross_fitted_c06_residual
CV01,7,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.619115316911392,0.7734791878871257,0.9230881824887374,1024,1024,0,same_cross_fitted_c06_residual
