model_id,seed_count,mean_nrmse,std_nrmse,mean_mae,std_mae,mean_mean_regret_m_s,std_mean_regret_m_s,mean_infeasible_selection_rate,std_infeasible_selection_rate,mean_brier,std_brier,mean_auroc,std_auroc,mean_recall,std_recall
C06,20,0.006832811015144496,1.7797887332061147e-18,0.004007150054949517,0.0,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
HEFRK-04-E025,20,0.00685091091225183,1.0484002912151638e-06,0.005360711352335202,1.6923815494757322e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
HEFRK-04-E050,20,0.006840802096128774,7.094830092962885e-07,0.00540470689656704,1.1896345778274743e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
HEFRK-04-E075,20,0.006836670677510236,3.5976665528658644e-07,0.005513251470657941,6.206394128128245e-07,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
HEFRK-06-E025,20,0.0067515391415692416,1.9593722806021795e-06,0.004993155037976064,3.485357456769046e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
HEFRK-06-E050,20,0.00672967022153247,1.4671810172014972e-06,0.00501548951869999,4.780002696217904e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
HEFRK-06-E075,20,0.006718920029553654,1.1475509451819324e-06,0.005195734122217188,4.7328214111439106e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
HEFRK-08-E025,20,0.0066681374600878335,1.8598486196380954e-06,0.004953929841421193,3.9979681290342485e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
HEFRK-08-E050,20,0.006591973287967279,2.2344916147308508e-06,0.00492003942738395,7.3801003709167575e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
HEFRK-08-E075,20,0.006525068334836168,2.824673226296758e-06,0.004976942979334211,9.740707334508866e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TWO-RBF-04-E025,20,0.0068893846963069705,1.0987403821783404e-06,0.0055460599297099625,1.6976411222464073e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TWO-RBF-04-E050,20,0.006880552555221096,1.1840346406003614e-06,0.005462662500668358,1.7585914449570035e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TWO-RBF-04-E075,20,0.006873079753773421,1.2768548867384967e-06,0.005399786820691375,1.9022992924996772e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TWO-RBF-06-E025,20,0.006762674743518171,2.3135648770628813e-06,0.005090467363140576,2.424187401357289e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TWO-RBF-06-E050,20,0.006769113690546831,2.373328718919159e-06,0.00508875903708802,2.3862830088792157e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TWO-RBF-06-E075,20,0.006776362732978086,2.440260617631705e-06,0.005103984385341516,2.417887839416064e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TWO-RBF-08-E025,20,0.006711079516515482,1.7473638461344488e-06,0.005017770590166817,2.6328640704089997e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TWO-RBF-08-E050,20,0.0067243771104359695,1.782284458034377e-06,0.005026658651441362,2.336432558226559e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
TWO-RBF-08-E075,20,0.006738434709682678,1.82479399000439e-06,0.005054074791248272,2.1602961637464427e-06,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17
