model_id,config_id,outer_fold,seed_index,validation_rows,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,brier,auroc,recall,precision,ece,eta
C06,C06,CV01,1,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
HEFRK-04-E025,HEFRK-04-E025,CV01,1,6500,0.014766740629324097,0.012332679260654645,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
TWO-RBF-04-E025,TWO-RBF-04-E025,CV01,1,6500,0.01475367240575522,0.012295652896958631,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
HEFRK-04-E050,HEFRK-04-E050,CV01,1,6500,0.014694939089543002,0.01259387075136882,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
TWO-RBF-04-E050,TWO-RBF-04-E050,CV01,1,6500,0.014782523067631963,0.012228120297103356,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
HEFRK-04-E075,HEFRK-04-E075,CV01,1,6500,0.014625419994020877,0.012867111720553595,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
TWO-RBF-04-E075,TWO-RBF-04-E075,CV01,1,6500,0.014811563131389744,0.012162686505043119,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
HEFRK-06-E025,HEFRK-06-E025,CV01,1,6500,0.014621768432197008,0.012424028816452357,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
TWO-RBF-06-E025,TWO-RBF-06-E025,CV01,1,6500,0.014662044896865489,0.012391218221428298,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
HEFRK-06-E050,HEFRK-06-E050,CV01,1,6500,0.014514541558459187,0.012739763823945994,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
TWO-RBF-06-E050,TWO-RBF-06-E050,CV01,1,6500,0.014685802206949813,0.012350479379852841,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
HEFRK-06-E075,HEFRK-06-E075,CV01,1,6500,0.014412077578907377,0.013119024676203656,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
TWO-RBF-06-E075,TWO-RBF-06-E075,CV01,1,6500,0.014709672161148072,0.012309823276156416,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
HEFRK-08-E025,HEFRK-08-E025,CV01,1,6500,0.014541797713950083,0.012605015985943702,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
TWO-RBF-08-E025,TWO-RBF-08-E025,CV01,1,6500,0.01462638695956124,0.01264761241091707,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.25
HEFRK-08-E050,HEFRK-08-E050,CV01,1,6500,0.014364885065488307,0.012863276217036913,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
TWO-RBF-08-E050,TWO-RBF-08-E050,CV01,1,6500,0.014659143907607088,0.012593382959505642,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5
HEFRK-08-E075,HEFRK-08-E075,CV01,1,6500,0.014194697945819821,0.013225697599528066,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
TWO-RBF-08-E075,TWO-RBF-08-E075,CV01,1,6500,0.01469207981669381,0.012539413201023536,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.75
C06,C06,CV01,2,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
