model_id,seed_index,validation_rows,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,brier,auroc,recall,precision,ece
C06,1,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,2,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,3,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,4,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,5,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,6,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,7,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,8,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,9,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,10,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,11,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,12,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,13,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,14,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,15,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,16,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,17,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,18,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,19,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
C06,20,39000,0.006832811015144498,0.004007150054949517,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,1,39000,0.00683966394345861,0.005515053716886254,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,2,39000,0.0068396639435325,0.0055150537172496865,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,3,39000,0.006839663943472669,0.005515053716633642,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,4,39000,0.00683966394369395,0.005515053717255576,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,5,39000,0.006839663943462745,0.005515053716573475,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,6,39000,0.0068396639438250695,0.005515053717594847,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,7,39000,0.0068396639435422376,0.0055150537166320755,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,8,39000,0.006839663943998291,0.0055150537178306385,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,9,39000,0.0068396639439934764,0.005515053718452216,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,10,39000,0.006839663943847774,0.005515053718038613,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,11,39000,0.00683966394362068,0.005515053717414928,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,12,39000,0.006839663943474872,0.005515053717128469,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,13,39000,0.00683966394376339,0.005515053717627256,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,14,39000,0.006839663943711703,0.005515053717587128,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,15,39000,0.006839663943381259,0.005515053716406057,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,16,39000,0.006839663943779098,0.005515053717662945,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,17,39000,0.006839663943665136,0.005515053717278854,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,18,39000,0.006839663943458419,0.005515053716797948,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,19,39000,0.006839663943543164,0.005515053717324769,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-04-L010,20,39000,0.006839663943785769,0.005515053717562887,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,1,39000,0.006757053267733768,0.005741398581437906,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,2,39000,0.006756775637199988,0.005730354345106904,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,3,39000,0.0067585073692046135,0.005752459279336418,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,4,39000,0.006759661551198547,0.005748125969957874,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,5,39000,0.0067557817557151074,0.0057318297206041865,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,6,39000,0.00676068380177673,0.00576545350334509,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,7,39000,0.0067567015991962485,0.005745625015347395,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,8,39000,0.006758225292773399,0.005747659806606063,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,9,39000,0.0067572569853485195,0.005745788876415124,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,10,39000,0.0067587502978238906,0.005748378749346772,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,11,39000,0.006759397050634755,0.005751445297002465,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,12,39000,0.0067578318054322935,0.005744668728586747,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,13,39000,0.00675922291004658,0.00575192829628351,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,14,39000,0.006757636745560413,0.005743952314281808,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,15,39000,0.006757262852634321,0.005741965008295462,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,16,39000,0.0067582389919535,0.005750485973769166,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
CE-GFRK-06-L010,17,39000,0.0067558544120211814,0.005739352730661829,16.806576945019742,0.06756410256410256,0.12247392928942265,0.8971983962581732,0.39900336076022713,0.7013648400896313,0.09764262831651918
