model_id,config_id,outer_fold,seed_index,validation_rows,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,brier,auroc,recall,precision,ece
C06,C06,CV01,1,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
CE-GFRK-04-L010,CE-GFRK-04-L010,CV01,1,6500,0.014675676724010319,0.012758549500700024,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-C-SHR-q4-L010,EC-TAP-RBF-C-SHR-q4-L010,CV01,1,6500,0.014974708609202556,0.012127155075330196,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
CE-GFRK-06-L010,CE-GFRK-06-L010,CV01,1,6500,0.014438976295177309,0.013468731420205908,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-C-SHR-q6-L010,EC-TAP-RBF-C-SHR-q6-L010,CV01,1,6500,0.01486499842369888,0.011803333348532829,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
CE-GFRK-08-L010,CE-GFRK-08-L010,CV01,1,6500,0.01415341477734527,0.013485899652150015,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-C-SHR-q8-L010,EC-TAP-RBF-C-SHR-q8-L010,CV01,1,6500,0.014850156577944008,0.011959532787610092,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,2,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
CE-GFRK-04-L010,CE-GFRK-04-L010,CV01,2,6500,0.014675676723887796,0.01275854950135963,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-C-SHR-q4-L010,EC-TAP-RBF-C-SHR-q4-L010,CV01,2,6500,0.014974755028731333,0.012127265420204106,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
CE-GFRK-06-L010,CE-GFRK-06-L010,CV01,2,6500,0.014439716396131346,0.013469279326260145,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-C-SHR-q6-L010,EC-TAP-RBF-C-SHR-q6-L010,CV01,2,6500,0.014864991597183075,0.011803125651950167,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
CE-GFRK-08-L010,CE-GFRK-08-L010,CV01,2,6500,0.014155527109307906,0.013536864989276781,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-C-SHR-q8-L010,EC-TAP-RBF-C-SHR-q8-L010,CV01,2,6500,0.014849662251208618,0.011959015394072191,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,3,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
CE-GFRK-04-L010,CE-GFRK-04-L010,CV01,3,6500,0.014675676724214038,0.0127585494995638,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-C-SHR-q4-L010,EC-TAP-RBF-C-SHR-q4-L010,CV01,3,6500,0.014975221510966136,0.01213693556010313,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
CE-GFRK-06-L010,CE-GFRK-06-L010,CV01,3,6500,0.01443869339925536,0.013469185923278377,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-C-SHR-q6-L010,EC-TAP-RBF-C-SHR-q6-L010,CV01,3,6500,0.014865045761152327,0.011802350722720751,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
CE-GFRK-08-L010,CE-GFRK-08-L010,CV01,3,6500,0.01416217512356095,0.013562698157328091,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-C-SHR-q8-L010,EC-TAP-RBF-C-SHR-q8-L010,CV01,3,6500,0.014848609009070179,0.011964114382394676,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,4,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
CE-GFRK-04-L010,CE-GFRK-04-L010,CV01,4,6500,0.014675676723950272,0.012758549499630645,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-C-SHR-q4-L010,EC-TAP-RBF-C-SHR-q4-L010,CV01,4,6500,0.014975262041495385,0.012137543366106156,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
CE-GFRK-06-L010,CE-GFRK-06-L010,CV01,4,6500,0.01444162897433878,0.013472823506101612,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
EC-TAP-RBF-C-SHR-q6-L010,EC-TAP-RBF-C-SHR-q6-L010,CV01,4,6500,0.014864832248711686,0.011799909504850015,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
CE-GFRK-08-L010,CE-GFRK-08-L010,CV01,4,6500,0.014157411900690245,0.013555048728427237,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
