outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,conditioning_feature,validation_outcomes_used
CV01,13,CE-GFRK-08-L010,8,1,True,256,256,0.1,15,-1.5038318370156308e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,14,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.8205971053739983e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,14,CE-GFRK-06-L010,6,1,True,64,256,0.1,10,-1.2695020323182625e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,14,CE-GFRK-08-L010,8,1,True,256,256,0.1,21,-1.5661209932786394e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,15,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0047252165402127e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,15,CE-GFRK-06-L010,6,1,True,64,256,0.1,12,-1.269312999996919e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,15,CE-GFRK-08-L010,8,1,True,256,256,0.1,13,-9.640912509085012e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,16,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3154233879133772e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,16,CE-GFRK-06-L010,6,1,True,64,256,0.1,9,-6.109275415066945e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,16,CE-GFRK-08-L010,8,1,True,256,256,0.1,15,-6.899241842553565e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,17,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-9.407450179673351e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,17,CE-GFRK-06-L010,6,1,True,64,256,0.1,10,-1.2451023518471788e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,17,CE-GFRK-08-L010,8,1,True,256,256,0.1,10,-4.6417659275969905e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,18,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0999640617092666e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,18,CE-GFRK-06-L010,6,1,True,64,256,0.1,17,-2.3569321292611866e-15,cross_fitted_c06_train_outer_c06_validation,0
