outer_fold,seed_index,config_id,fit_rows,fit_features,validation_rows,projection_components,projection_hash,conditioning_feature,validation_outcomes_used
CV01,19,CE-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,0
CV01,20,CE-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,0
CV01,20,CE-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,0
CV01,20,CE-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,0
CV02,1,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,1,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,1,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,2,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,2,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,2,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,3,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,3,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,3,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,4,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,4,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,4,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,5,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,5,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,5,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,6,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,6,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,6,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,7,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,7,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,7,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,8,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,8,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,8,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,9,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,9,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,9,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,10,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,10,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,10,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,11,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,11,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,11,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,12,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,12,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,12,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,13,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,13,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,13,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,14,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,14,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,14,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,15,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,15,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,15,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,16,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,16,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,16,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,17,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,17,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,17,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,18,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,18,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,18,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,19,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,19,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,19,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV02,20,CE-GFRK-04-L010,1024,5,9750,4,8693a8ca40a1e4f6b9c37e7371ea3508ec41054b8b938f5924cc41ac6594cf0b,cross_fitted_c06_train_outer_c06_validation,0
CV02,20,CE-GFRK-06-L010,1024,7,9750,6,402ce6d91bc0ebde1cf4fa6a824a941369cadcf4e25428c5e5819a0292cc2f7f,cross_fitted_c06_train_outer_c06_validation,0
CV02,20,CE-GFRK-08-L010,1024,9,9750,8,34f86fffd63fe22eaaf19b2b6845556ae0494da655b369313652f5a6255b894d,cross_fitted_c06_train_outer_c06_validation,0
CV03,1,CE-GFRK-04-L010,1024,5,9750,4,2605f1f5c84281aa3fcd4a6c80c5353489e6a76b83deb59c8c20eb3f135b01df,cross_fitted_c06_train_outer_c06_validation,0
CV03,1,CE-GFRK-06-L010,1024,7,9750,6,1dbcd757b42ad4035c6150171483f969b9d7dfd2f74168598ffaab557d6dff0f,cross_fitted_c06_train_outer_c06_validation,0
CV03,1,CE-GFRK-08-L010,1024,9,9750,8,7eee674caaa706b419680687acf4b8702a3bdce658bbf5515bb68ea901f1f233,cross_fitted_c06_train_outer_c06_validation,0
CV03,2,CE-GFRK-04-L010,1024,5,9750,4,2605f1f5c84281aa3fcd4a6c80c5353489e6a76b83deb59c8c20eb3f135b01df,cross_fitted_c06_train_outer_c06_validation,0
CV03,2,CE-GFRK-06-L010,1024,7,9750,6,1dbcd757b42ad4035c6150171483f969b9d7dfd2f74168598ffaab557d6dff0f,cross_fitted_c06_train_outer_c06_validation,0
CV03,2,CE-GFRK-08-L010,1024,9,9750,8,7eee674caaa706b419680687acf4b8702a3bdce658bbf5515bb68ea901f1f233,cross_fitted_c06_train_outer_c06_validation,0
CV03,3,CE-GFRK-04-L010,1024,5,9750,4,2605f1f5c84281aa3fcd4a6c80c5353489e6a76b83deb59c8c20eb3f135b01df,cross_fitted_c06_train_outer_c06_validation,0
CV03,3,CE-GFRK-06-L010,1024,7,9750,6,1dbcd757b42ad4035c6150171483f969b9d7dfd2f74168598ffaab557d6dff0f,cross_fitted_c06_train_outer_c06_validation,0
CV03,3,CE-GFRK-08-L010,1024,9,9750,8,7eee674caaa706b419680687acf4b8702a3bdce658bbf5515bb68ea901f1f233,cross_fitted_c06_train_outer_c06_validation,0
CV03,4,CE-GFRK-04-L010,1024,5,9750,4,2605f1f5c84281aa3fcd4a6c80c5353489e6a76b83deb59c8c20eb3f135b01df,cross_fitted_c06_train_outer_c06_validation,0
CV03,4,CE-GFRK-06-L010,1024,7,9750,6,1dbcd757b42ad4035c6150171483f969b9d7dfd2f74168598ffaab557d6dff0f,cross_fitted_c06_train_outer_c06_validation,0
CV03,4,CE-GFRK-08-L010,1024,9,9750,8,7eee674caaa706b419680687acf4b8702a3bdce658bbf5515bb68ea901f1f233,cross_fitted_c06_train_outer_c06_validation,0
CV03,5,CE-GFRK-04-L010,1024,5,9750,4,2605f1f5c84281aa3fcd4a6c80c5353489e6a76b83deb59c8c20eb3f135b01df,cross_fitted_c06_train_outer_c06_validation,0
CV03,5,CE-GFRK-06-L010,1024,7,9750,6,1dbcd757b42ad4035c6150171483f969b9d7dfd2f74168598ffaab557d6dff0f,cross_fitted_c06_train_outer_c06_validation,0
CV03,5,CE-GFRK-08-L010,1024,9,9750,8,7eee674caaa706b419680687acf4b8702a3bdce658bbf5515bb68ea901f1f233,cross_fitted_c06_train_outer_c06_validation,0
CV03,6,CE-GFRK-04-L010,1024,5,9750,4,2605f1f5c84281aa3fcd4a6c80c5353489e6a76b83deb59c8c20eb3f135b01df,cross_fitted_c06_train_outer_c06_validation,0
CV03,6,CE-GFRK-06-L010,1024,7,9750,6,1dbcd757b42ad4035c6150171483f969b9d7dfd2f74168598ffaab557d6dff0f,cross_fitted_c06_train_outer_c06_validation,0
CV03,6,CE-GFRK-08-L010,1024,9,9750,8,7eee674caaa706b419680687acf4b8702a3bdce658bbf5515bb68ea901f1f233,cross_fitted_c06_train_outer_c06_validation,0
CV03,7,CE-GFRK-04-L010,1024,5,9750,4,2605f1f5c84281aa3fcd4a6c80c5353489e6a76b83deb59c8c20eb3f135b01df,cross_fitted_c06_train_outer_c06_validation,0
CV03,7,CE-GFRK-06-L010,1024,7,9750,6,1dbcd757b42ad4035c6150171483f969b9d7dfd2f74168598ffaab557d6dff0f,cross_fitted_c06_train_outer_c06_validation,0
CV03,7,CE-GFRK-08-L010,1024,9,9750,8,7eee674caaa706b419680687acf4b8702a3bdce658bbf5515bb68ea901f1f233,cross_fitted_c06_train_outer_c06_validation,0
CV03,8,CE-GFRK-04-L010,1024,5,9750,4,2605f1f5c84281aa3fcd4a6c80c5353489e6a76b83deb59c8c20eb3f135b01df,cross_fitted_c06_train_outer_c06_validation,0
CV03,8,CE-GFRK-06-L010,1024,7,9750,6,1dbcd757b42ad4035c6150171483f969b9d7dfd2f74168598ffaab557d6dff0f,cross_fitted_c06_train_outer_c06_validation,0
CV03,8,CE-GFRK-08-L010,1024,9,9750,8,7eee674caaa706b419680687acf4b8702a3bdce658bbf5515bb68ea901f1f233,cross_fitted_c06_train_outer_c06_validation,0
CV03,9,CE-GFRK-04-L010,1024,5,9750,4,2605f1f5c84281aa3fcd4a6c80c5353489e6a76b83deb59c8c20eb3f135b01df,cross_fitted_c06_train_outer_c06_validation,0
