outer_fold,seed_index,validation_rows,eta_min,eta_max,eta_mean,c06_probability_min,c06_probability_max,gate_formula,gate_source,validation_outcomes_used
CV01,1,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,2,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,3,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,4,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,5,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,6,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,7,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,8,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,9,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,10,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,11,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,12,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,13,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,14,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,15,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,16,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,17,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,18,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,19,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV01,20,6500,0.2831231634988228,0.749801862702935,0.5697404106888432,0.0003962745941299996,0.9337536730023543,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,1,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,2,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
CV02,3,9750,0.25429894165307393,0.7497771179353239,0.6629477843706367,0.00044576412935233204,0.9914021166938521,0.25 + 0.50 * (1 - p_C06),outer_fold_c06_feasibility_probability,0
