model_id,config_id,outer_fold,seed_index,validation_rows,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,brier,auroc,recall,precision,ece,gate_eta_mean
C06,C06,CV01,1,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
AGEFRK-04-ADAPT,AGEFRK-04-ADAPT,CV01,1,6500,0.014613831263266023,0.012501656984117678,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-04-ADAPT,TWO-RBF-04-ADAPT,CV01,1,6500,0.014813246303518391,0.012264134674895963,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-06-ADAPT,AGEFRK-06-ADAPT,CV01,1,6500,0.014396189271106965,0.01269237797501244,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-06-ADAPT,TWO-RBF-06-ADAPT,CV01,1,6500,0.014711177043917303,0.012391247075802733,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-08-ADAPT,AGEFRK-08-ADAPT,CV01,1,6500,0.01418047888550487,0.012686102423037193,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-08-ADAPT,TWO-RBF-08-ADAPT,CV01,1,6500,0.01469455515558207,0.012654200406756747,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
C06,C06,CV01,2,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
AGEFRK-04-ADAPT,AGEFRK-04-ADAPT,CV01,2,6500,0.01461382869220328,0.012501639155505305,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-04-ADAPT,TWO-RBF-04-ADAPT,CV01,2,6500,0.014813151784764209,0.012262179574893972,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-06-ADAPT,AGEFRK-06-ADAPT,CV01,2,6500,0.014395364700827636,0.012690953002839732,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-06-ADAPT,TWO-RBF-06-ADAPT,CV01,2,6500,0.014711538073919284,0.012390910774820482,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-08-ADAPT,AGEFRK-08-ADAPT,CV01,2,6500,0.014177468384900317,0.012678872411509614,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-08-ADAPT,TWO-RBF-08-ADAPT,CV01,2,6500,0.014694550277558806,0.01265503076165622,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
C06,C06,CV01,3,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
AGEFRK-04-ADAPT,AGEFRK-04-ADAPT,CV01,3,6500,0.014613820250777707,0.012501523365363731,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-04-ADAPT,TWO-RBF-04-ADAPT,CV01,3,6500,0.014813233767195075,0.012263047651685208,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-06-ADAPT,AGEFRK-06-ADAPT,CV01,3,6500,0.014397866536557174,0.012701876170231404,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-06-ADAPT,TWO-RBF-06-ADAPT,CV01,3,6500,0.01471114576204511,0.0123918440914861,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-08-ADAPT,AGEFRK-08-ADAPT,CV01,3,6500,0.014180153206032267,0.012673741738653066,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-08-ADAPT,TWO-RBF-08-ADAPT,CV01,3,6500,0.014695073692312889,0.012656976692954541,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
C06,C06,CV01,4,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
AGEFRK-04-ADAPT,AGEFRK-04-ADAPT,CV01,4,6500,0.014613819208728536,0.012501537040712909,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-04-ADAPT,TWO-RBF-04-ADAPT,CV01,4,6500,0.014813173522890759,0.012262092426838109,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-06-ADAPT,AGEFRK-06-ADAPT,CV01,4,6500,0.014396620330196827,0.012693283779661871,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-06-ADAPT,TWO-RBF-06-ADAPT,CV01,4,6500,0.014711158615359302,0.0123918007855304,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-08-ADAPT,AGEFRK-08-ADAPT,CV01,4,6500,0.014185779761731543,0.012718970213688202,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-08-ADAPT,TWO-RBF-08-ADAPT,CV01,4,6500,0.014694462107406965,0.012654907467973295,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
C06,C06,CV01,5,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
AGEFRK-04-ADAPT,AGEFRK-04-ADAPT,CV01,5,6500,0.014613808446758563,0.012501320951212012,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-04-ADAPT,TWO-RBF-04-ADAPT,CV01,5,6500,0.01481319707949675,0.012262410343124685,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-06-ADAPT,AGEFRK-06-ADAPT,CV01,5,6500,0.014396989781653113,0.012705214930274716,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-06-ADAPT,TWO-RBF-06-ADAPT,CV01,5,6500,0.014711048759255019,0.012390688910493533,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-08-ADAPT,AGEFRK-08-ADAPT,CV01,5,6500,0.014177755882349126,0.012700969946514313,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-08-ADAPT,TWO-RBF-08-ADAPT,CV01,5,6500,0.014694856379007182,0.012659570111500486,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
C06,C06,CV01,6,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
AGEFRK-04-ADAPT,AGEFRK-04-ADAPT,CV01,6,6500,0.01461381810178809,0.012501444092183463,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-04-ADAPT,TWO-RBF-04-ADAPT,CV01,6,6500,0.014813179812712423,0.012262342820883147,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-06-ADAPT,AGEFRK-06-ADAPT,CV01,6,6500,0.014395076062462882,0.012684549663965435,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-06-ADAPT,TWO-RBF-06-ADAPT,CV01,6,6500,0.014711289914068757,0.012392290797907567,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-08-ADAPT,AGEFRK-08-ADAPT,CV01,6,6500,0.014164955713401173,0.012685928078251243,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-08-ADAPT,TWO-RBF-08-ADAPT,CV01,6,6500,0.014695176757908025,0.012657023646395243,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
C06,C06,CV01,7,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
AGEFRK-04-ADAPT,AGEFRK-04-ADAPT,CV01,7,6500,0.014613908200242224,0.012500817323750997,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-04-ADAPT,TWO-RBF-04-ADAPT,CV01,7,6500,0.014813534544343792,0.012262153311351878,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-06-ADAPT,AGEFRK-06-ADAPT,CV01,7,6500,0.014395070004148794,0.012692387169528991,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-06-ADAPT,TWO-RBF-06-ADAPT,CV01,7,6500,0.014711266387254965,0.01239123904314157,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-08-ADAPT,AGEFRK-08-ADAPT,CV01,7,6500,0.014176779868637598,0.012668468238136828,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-08-ADAPT,TWO-RBF-08-ADAPT,CV01,7,6500,0.014694725500325582,0.012654830288922544,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
C06,C06,CV01,8,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
AGEFRK-04-ADAPT,AGEFRK-04-ADAPT,CV01,8,6500,0.01461382219737162,0.012501564179022208,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-04-ADAPT,TWO-RBF-04-ADAPT,CV01,8,6500,0.014813237749812955,0.012263134015483719,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-06-ADAPT,AGEFRK-06-ADAPT,CV01,8,6500,0.01439664658195532,0.012690526446890286,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-06-ADAPT,TWO-RBF-06-ADAPT,CV01,8,6500,0.014711508227957571,0.012392607375978412,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-08-ADAPT,AGEFRK-08-ADAPT,CV01,8,6500,0.01418842311944496,0.01268671746007617,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-08-ADAPT,TWO-RBF-08-ADAPT,CV01,8,6500,0.014694625385879354,0.012656014574515321,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
C06,C06,CV01,9,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,
AGEFRK-04-ADAPT,AGEFRK-04-ADAPT,CV01,9,6500,0.014613827530813115,0.012501522122938678,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-04-ADAPT,TWO-RBF-04-ADAPT,CV01,9,6500,0.014813161694632393,0.012263376562809203,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
AGEFRK-06-ADAPT,AGEFRK-06-ADAPT,CV01,9,6500,0.014396874272873018,0.012695084387666093,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
TWO-RBF-06-ADAPT,TWO-RBF-06-ADAPT,CV01,9,6500,0.014711543408929384,0.01239199893946729,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.5697404106888432
