outer_fold,seed_index,q,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,gate_eta_min,gate_eta_max,gate_eta_mean,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV01,1,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,1.3254448871622013,0.7052849121171127,0.8805978933839826,0.2831231634988228,0.749801862702935,0.5697404106888432,1024,1024,0,same_cross_fitted_c06_residual
CV01,1,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,1.6192974204768118,0.7726697324022048,0.9217572203209863,0.2831231634988228,0.749801862702935,0.5697404106888432,1024,1024,0,same_cross_fitted_c06_residual
CV01,1,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,1.9562579345381137,0.8601653695739949,1.0653002639401545,0.2831231634988228,0.749801862702935,0.5697404106888432,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,1.3254448875515605,0.7045350470842705,0.8784343201925221,0.2831231634988228,0.749801862702935,0.5697404106888432,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,1.62004596371729,0.7711750853845437,0.9154185619871916,0.2831231634988228,0.749801862702935,0.5697404106888432,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,1.9575630864117628,0.8603804389149544,1.0653054847706025,0.2831231634988228,0.749801862702935,0.5697404106888432,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,1.325444887374056,0.7046506922547751,0.8813292228376269,0.2831231634988228,0.749801862702935,0.5697404106888432,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,6,AGEFRK-06-ADAPT,TWO-RBF-06-ADAPT,1.6225698279810983,0.7731246178574177,0.9247288579903928,0.2831231634988228,0.749801862702935,0.5697404106888432,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,8,AGEFRK-08-ADAPT,TWO-RBF-08-ADAPT,1.9632946199725922,0.8611689875654815,1.0626567746638447,0.2831231634988228,0.749801862702935,0.5697404106888432,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,4,AGEFRK-04-ADAPT,TWO-RBF-04-ADAPT,1.325444887460415,0.7042694625207094,0.8790581113688917,0.2831231634988228,0.749801862702935,0.5697404106888432,1024,1024,0,same_cross_fitted_c06_residual
