model_id,seed_count,mean_nrmse,std_nrmse,mean_mae,std_mae,mean_mean_regret_m_s,std_mean_regret_m_s,mean_infeasible_selection_rate,std_infeasible_selection_rate,mean_brier,std_brier,mean_auroc,std_auroc,mean_recall,std_recall,mean_precision,std_precision,mean_ece,std_ece
A02-R-q4,20,0.03050600723773046,3.1571691561052213e-07,0.06439435717137469,9.367306425838786e-07,19.68717948717949,0.0,0.11948717948717953,4.2714929596946757e-17,0.18273431698982415,3.311794007268339e-07,0.6942528966414067,5.687399223413459e-06,0.1478734499942056,0.0,0.2949607027276929,1.1390647892519134e-16,0.1643922226938676,3.728689260881582e-06
A02-R-q6,20,0.026707366925455982,5.857266223067017e-07,0.05524691626240481,1.9773909541903244e-06,19.810256410256407,3.645007325606123e-15,0.07102564102564105,1.4238309865648918e-17,0.1884779176238203,2.707631977155113e-06,0.5879474291866439,3.9429698047691256e-05,0.09248754200950282,2.1227694317564633e-05,0.33193998612149234,7.416277679710674e-05,0.1756510658269629,1.974548885165071e-05
A02-R-q8,20,0.026547677662393625,2.4647066398337882e-06,0.054731435649644736,6.7192968954918725e-06,19.766743808633585,3.645007325606123e-15,0.07217948717948718,0.0,0.19090823805340884,1.7882416648681792e-05,0.5514301125185145,0.00013117365098808792,0.07590682581990961,0.0,0.307367433129986,5.695323946259567e-17,0.16013184467624667,6.890513134684156e-05
BASELINE,20,0.03378094044092983,0.0,0.053920304181233836,0.0,16.811705150147944,3.645007325606123e-15,0.06782051282051285,2.8476619731297836e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17,0.7013648400896313,0.0,0.0976426283165192,1.4238309865648918e-17
C02,20,,,,,,,,,0.10568525290559047,0.0020701166496765303,0.9140948989584169,0.0024777202566743806,0.32500869162127705,0.0036991691493063975,0.7278541126049163,0.005035876133475744,0.07287598083688626,0.005195325705770276
C06,20,0.006832811015144496,1.7797887332061147e-18,0.004007150054949517,0.0,16.806576945019742,0.0,0.06756410256410254,1.4238309865648918e-17,0.12247392928942265,0.0,0.8971983962581731,1.1390647892519134e-16,0.3990033607602272,5.695323946259567e-17,0.7013648400896313,0.0,0.0976426283165192,1.4238309865648918e-17
PRQK-04-E,20,0.025251055791593813,1.0800250257007747e-05,0.05469139453752887,3.234929005793552e-05,19.764137748645,0.0,0.08756410256410255,1.4238309865648918e-17,0.20398272458477146,1.0787132496154781e-05,0.4856330109311946,2.1932621125223045e-05,0.11414995943910074,2.8476619731297836e-17,0.2624567013056221,5.695323946259567e-17,0.20522032678779886,7.462261916621434e-05
PRQK-04-N,20,0.032932628684642674,4.9729597752884104e-06,0.07014956503655422,7.451259873463451e-06,19.68717948717949,0.0,0.11948717948717953,4.2714929596946757e-17,0.1613297587387926,1.1686715766770511e-05,0.7167585595456083,1.9868005242360376e-05,0.12597056437594162,2.8476619731297836e-17,0.30382648805818535,4.8510799218008344e-05,0.13841167982213115,2.120940838835688e-05
PRQK-06-E,20,0.030905579670628437,3.2406896077561965e-05,0.0642028175789561,3.955221918997365e-05,19.64618223398423,0.0,0.10500000000000001,1.4238309865648918e-17,0.18908645816950811,1.0063000535761095e-05,0.5397279023153384,4.6724044003028484e-05,0.13072198400741683,2.8476619731297836e-17,0.2832640806794548,6.640564204058826e-05,0.17222870632155898,0.00018110993667479682
PRQK-06-N,20,0.031133138683637023,3.902182009251874e-06,0.06485725436328957,7.885946922041443e-06,19.660906554210648,0.0011391324572282305,0.12423076923076921,1.4238309865648918e-17,0.1599794324885877,3.198994197851765e-05,0.7345780634311894,0.00019178658257010107,0.14064202109166765,0.0001522648476838102,0.28589259211833673,0.000221392855125057,0.1307485272219859,7.276276505073863e-05
PRQK-08-E,20,0.030167380382646564,6.788857405095763e-05,0.06328316329301256,8.65451191192476e-05,19.735939383468978,0.0,0.08294871794871791,2.8476619731297836e-17,0.19224815322559244,1.6554458197389296e-05,0.53050772833593,0.000581575746490968,0.09398539807625447,1.4238309865648918e-17,0.2951237967144201,0.00014787469384195957,0.16435359745808048,0.00017617020186013428
PRQK-08-N,20,0.029325889117374243,1.6977526730514572e-05,0.061009810917539056,3.428545012349187e-05,19.621574318490893,0.0012887812562830283,0.12846794871794875,2.866753817307537e-05,0.15609361875756914,6.616639404346649e-05,0.7435584567255211,0.0002493216628625015,0.1088712481168154,0.000301907153702957,0.26083838893946276,0.00048240363749173937,0.11317716011882559,0.0001844453705838987
