model_id,seed_index,validation_rows,brier,auroc,recall,precision,ece,rmse,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,no_predicted_feasible_rate
A02-R-q4,1,78000,0.1827346094852576,0.694252367730119,0.1478734499942056,0.29496070272769304,0.16438873282225444,0.07144268661276605,0.030506331575039763,0.06439540754547253,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,2,78000,0.18273434245287926,0.69425400659673,0.1478734499942056,0.29496070272769304,0.16439507485268862,0.07144272570926039,0.030506348269409417,0.06439502454802784,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,3,78000,0.18273458125524,0.6942469007076808,0.1478734499942056,0.29496070272769304,0.16438673736631157,0.07144240580112826,0.030506211667273988,0.06439554522246023,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,4,78000,0.18273403284812864,0.6942504226491991,0.1478734499942056,0.29496070272769304,0.1643967627071575,0.07144125753186258,0.030505721351405182,0.06439318897795772,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,5,78000,0.1827344235920078,0.6942501088033812,0.1478734499942056,0.29496070272769304,0.16439240956854745,0.07144162710709545,0.030505879161604247,0.06439390442932266,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,6,78000,0.18273426918392147,0.6942577784701761,0.1478734499942056,0.29496070272769304,0.16439931672045652,0.0714417323163909,0.030505924086421658,0.06439455774295896,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,7,78000,0.18273403265205423,0.6942680380804223,0.1478734499942056,0.29496070272769304,0.1643953409445636,0.07144255664699731,0.030506276079102772,0.0643949062700152,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,8,78000,0.18273415261115075,0.6942565755535308,0.1478734499942056,0.29496070272769304,0.16439301986635363,0.07144292376932351,0.030506432841900237,0.06439512671284647,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,9,78000,0.1827343829109808,0.6942559860194414,0.1478734499942056,0.29496070272769304,0.1643894839115761,0.07144167957383152,0.03050590156512409,0.06439371517877279,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,10,78000,0.18273445561649454,0.6942546590907708,0.1478734499942056,0.29496070272769304,0.1643925783396594,0.07144226947144129,0.0305061534539168,0.06439506861228744,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,11,78000,0.18273350329821433,0.6942577727465442,0.1478734499942056,0.29496070272769304,0.16439199203448623,0.07144094078313691,0.03050558609834977,0.06439300529602633,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,12,78000,0.18273502573809025,0.6942397805095519,0.1478734499942056,0.29496070272769304,0.1643825517428468,0.07144007311237685,0.030505215599238397,0.06439250922198168,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,13,78000,0.18273403741670646,0.6942511962934492,0.1478734499942056,0.29496070272769304,0.1643926025049042,0.07144158841774528,0.030505862641086883,0.06439395844839309,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,14,78000,0.18273459678288542,0.6942500696918965,0.1478734499942056,0.29496070272769304,0.1643910245210217,0.07144232090022333,0.03050617541422585,0.0643950316697663,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,15,78000,0.1827341878040978,0.6942527893710049,0.1478734499942056,0.29496070272769304,0.16439319942726274,0.07144139968950507,0.03050578205332421,0.06439357269718174,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,16,78000,0.1827346474073469,0.6942490518393505,0.1478734499942056,0.29496070272769304,0.16439484416060263,0.07144135560705259,0.030505763229929178,0.06439399503791061,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,17,78000,0.18273454574488862,0.6942480597431481,0.1478734499942056,0.29496070272769304,0.1643896668570419,0.07144275244291189,0.03050635968479251,0.06439550420820513,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,18,78000,0.18273407566124117,0.6942577002472063,0.1478734499942056,0.29496070272769304,0.16439335838708724,0.07144255865964931,0.03050627693851375,0.06439507797669011,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,19,78000,0.1827339682381209,0.6942551055340619,0.1478734499942056,0.29496070272769304,0.16439544073414158,0.07144138517549922,0.030505775855781875,0.0643931199676528,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q4,20,78000,0.18273446909677551,0.69424956315047,0.1478734499942056,0.29496070272769304,0.1643903164083885,0.07144230163564466,0.03050616718816868,0.06439492366356404,19.68717948717949,0.11948717948717949,0.3243589743589744
A02-R-q6,1,78000,0.18847215076509782,0.5880145987261431,0.092536794530073,0.332016632016632,0.17563060180428297,0.06254603947591299,0.026707425342215214,0.05524607875369018,19.81025641025641,0.07102564102564103,0.378974358974359
A02-R-q6,2,78000,0.1884774936955715,0.5879382817257799,0.09247885038822574,0.3318777292576419,0.17565394521550787,0.06254548137508696,0.02670718703078464,0.05524714942218767,19.81025641025641,0.07102564102564103,0.378974358974359
A02-R-q6,3,78000,0.18847664259900854,0.5879754519455139,0.09247885038822574,0.3318777292576419,0.17563840532447697,0.06254489815122502,0.026706937991710682,0.05524534041505902,19.81025641025641,0.07102564102564103,0.378974358974359
A02-R-q6,4,78000,0.18847837053116961,0.5879340634090426,0.09247885038822574,0.3318777292576419,0.17563892535914796,0.06254773452499446,0.026708149135394994,0.055249458127121336,19.81025641025641,0.07102564102564103,0.378974358974359
A02-R-q6,5,78000,0.18847698822137307,0.5880132221926624,0.09247885038822574,0.3319467554076539,0.17563351667936436,0.06254656166383125,0.02670764831868117,0.0552477404285271,19.81025641025641,0.07102564102564103,0.378974358974359
A02-R-q6,6,78000,0.1884786827855698,0.5879734057470966,0.09247885038822574,0.3318777292576419,0.17566655118127117,0.06254647927086056,0.026707613136531635,0.055248913624278626,19.81025641025641,0.07102564102564103,0.378974358974359
A02-R-q6,7,78000,0.1884825942953498,0.5879193794313098,0.09247885038822574,0.3318777292576419,0.17567809707034907,0.0625450269614754,0.02670699299423641,0.05524661037525302,19.81025641025641,0.07102564102564103,0.378974358974359
A02-R-q6,8,78000,0.18847924018702863,0.5879525607565533,0.09247885038822574,0.3318087318087318,0.17564808192794962,0.0625454841767604,0.026707188227111132,0.05524617893670097,19.81025641025641,0.07102564102564103,0.378974358974359
A02-R-q6,9,78000,0.18847954709982995,0.5879506047053391,0.09247885038822574,0.3319467554076539,0.1757066277702351,0.06254356082321388,0.026706366946952057,0.05524465685233912,19.81025641025641,0.07102564102564103,0.378974358974359
